tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
313604881,CÔNG TY TNHH SẢN XUẤT ĐẦU TƯ XÂY DỰNG XUẤT NHẬP KHẨU SAIGON GLOBAL DEVELOPMENT VISION,CÔNG TY TNHH SẢN XUẤT ĐẦU TƯ X,Công ty trách nhiệm hữu hạn một thành viên,"5/87/8 Đường TCH33, Phường Tân Chánh Hiệp, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"4781: Bán lẻ lương thực, thực phẩm, đồ uống, thuốc lá, thuốc lào lưu động hoặc tại chợ-(thực hiện theo Quyết định 64/2009/QDD-UBND ngày 31/07/2009 và Quyết định 79/2009/QDD-UBND ngày 17/10/2009 của Ủy",internet
313772082,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐỒNG PHỤC HUY PHÁT,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn một thành viên,"46A, Đường Tân Thới Hiệp 13, Tổ 20, Khu Phố 3, Phường Tân Thới Hiệp, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"7410: Hoạt động thiết kế chuyên dụng-Chi tiết: Thiết kế tạo mẫu bằng máy vi tính;4774: Bán lẻ hàng hóa đã qua sử dụng trong các cửa hàng chuyên doanh-Chi tiết: Bán lẻ máy vi tính, thiết bị ngoại vi và",internet
313604602,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CÔNG NGHỆ SUNRISE,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn một thành viên,"233/65/6A Tân Thới Hiệp 07, Phường Tân Thới Hiệp, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh-Chi tiết: Bán lẻ phần mềm bán hàng; Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiế",internet
313613149,CÔNG TY TNHH TƯ VẤN THIẾT KẾ VÀ XÂY DỰNG QUANG HÀO,CÔNG TY TNHH TƯ VẤN THIẾT KẾ V,Công ty trách nhiệm hữu hạn một thành viên,"75/16/34/11 An Phú Đông 09, Khu phố 1, phường An Phú Đông, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"4299: Xây dựng công trình kỹ thuật dân dụng khác-;4311: Phá dỡ-;4312: Chuẩn bị mặt bằng-;4321: Lắp đặt hệ thống điện-;4322: Lắp đặt hệ thống cấp, thoát nước, hệ thống sưởi và điều hoà không khí-(trừ l",internet
313617305,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ EEE,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"36/28, Đường ĐHT40, Phường Tân Hưng Thuận, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"5229: Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải-Chi tiết: Hoạt động dịch vụ hỗ trợ liên quan đến vận tải: đại lý vé máy bay, đại lý vé tàu hỏa, dịch vụ giao nhận hàng hóa (trừ hóa lỏng khí đ",internet
313615788,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THIẾT BỊ VĂN PHÒNG LÂM GIA PHÁT,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn một thành viên,"52/4 Đường TX21, Khu phố 5, phường Thạnh Xuân, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"4669: Bán buôn chuyên doanh khác chưa được phân vào đâu-Chi tiết: Bán buôn camera.;4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh-Chi tiết",internet
313616005,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI HÀNG HẢI PHÚ THỊNH,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠ,Công ty trách nhiệm hữu hạn một thành viên,"Số 19 Đông Hưng Thuận 42, Phường Tân Hưng Thuận, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"4933: Vận tải hàng hóa bằng đường bộ-(trừ hóa lỏng khí để vận chuyển);5012: Vận tải hàng hóa ven biển và viễn dương-;4651: Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm-;4652: Bán buôn thiết bị ",internet
314740911,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HOSHI VIỆT NAM,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"104/7 Đường Thạnh Xuân 22, Phường Thạnh Xuân, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,2610: Sản xuất linh kiện điện tử-(không hoạt động tại trụ sở);2620: Sản xuất máy vi tính và thiết bị ngoại vi của máy vi tính-(không hoạt động tại trụ sở);2630: Sản xuất thiết bị truyền thông-(không h,internet
313621196,CÔNG TY TNHH KẾT NỐI TÍN HIỆU TRUYỀN DẪN VÀ ĐIỆN POE,CÔNG TY TNHH KẾT NỐI TÍN HIỆU ,Công ty trách nhiệm hữu hạn một thành viên,"70/12A, Tân Thới Nhất 2, Khu phố 7, phường Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,2610: Sản xuất linh kiện điện tử-(không hoạt động tại trụ sở);2620: Sản xuất máy vi tính và thiết bị ngoại vi của máy vi tính-(không hoạt động tại trụ sở);2630: Sản xuất thiết bị truyền thông-(không h,internet
313622383,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NET HOÀNG LONG,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn một thành viên,"35 Đường An Phú Đông 1, phường An Phú Đông, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"4722: Bán lẻ thực phẩm trong các cửa hàng chuyên doanh-(Doanh nghiệp phải thực hiện theo quyết định 64/2009/QĐ-UB ngày 31/07/2009, quyết định 79/2009/QĐ-UBND ngày 17/10/2009 của UBND Thành phố về phê ",internet
314771268,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VÀ DỊCH VỤ LÊ MINH PHÁT,CÔNG TY TNHH SẢN XUẤT THƯƠNG M,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"197/50/34/7 Đường TL15, Khu phố 3C, Phường Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"0128: Trồng cây gia vị, cây dược liệu-;0129: Trồng cây lâu năm khác-;0130: Nhân và chăm sóc cây giống nông nghiệp-;0141: Chăn nuôi trâu, bò-;0142: Chăn nuôi ngựa, lừa, la-;0144: Chăn nuôi dê, cừu-;014",internet
313627712,CÔNG TY CỔ PHẦN THƯƠNG MẠI Ô TÔ HÒA PHÁT,CÔNG TY CỔ PHẦN THƯƠNG MẠI Ô T,Công ty cổ phần,"254/31 Đường TTH07, Khu phố 4A, phường Tân Thới Hiệp, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"2511: Sản xuất các cấu kiện kim loại-(chỉ hoạt động khi đủ điều kiện của pháp luật);2512: Sản xuất thùng, bể chứa và dụng cụ chứa đựng bằng kim loại-Chi tiết: Sản xuất thùng, bể chứa và dụng cụ chứa đ",lap top
313767124,CÔNG TY TNHH DỊCH VỤ TIN HỌC SÔNG LAM,CÔNG TY TNHH DỊCH VỤ TIN HỌC S,Công ty trách nhiệm hữu hạn một thành viên,"37/6 đường Nguyễn Ảnh Thủ, Khu phố 4, phường Hiệp Thành, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"6190: Hoạt động viễn thông khác-Chi tiết: Hoạt động của các điểm truy cập internet;6201: Lập trình máy vi tính-;6202: Tư vấn máy vi tính và quản trị hệ thống máy vi tính-;4651: Bán buôn máy vi tính, t",internet
313629484,CÔNG TY TNHH TƯ VẤN VÀ ĐẦU TƯ HOÀNG HUY,CÔNG TY TNHH TƯ VẤN VÀ ĐẦU TƯ ,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"35/5 Đường TL 02, Khu phố 3A, phường Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"5229: Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải-Chi tiết: Đại lý bán vé máy bay, ô tô, tàu hỏa, tàu biển. Dịch vụ kiểm đếm hàng hóa, làm thủ tục hải quan. Dịch vụ giao nhận và xếp dỡ hàng hó",internet
313632416,CÔNG TY CỔ PHẦN MỸ PHẨM QUỐC LOAN,CÔNG TY CỔ PHẦN MỸ PHẨM QUỐC L,Công ty cổ phần,"10/34 Trần Thị Do, phường Hiệp Thành, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"4311: Phá dỡ-;4312: Chuẩn bị mặt bằng-;4290: Xây dựng công trình kỹ thuật dân dụng khác-;4659: Bán buôn máy móc, thiết bị và phụ tùng máy khác-;4100: Xây dựng nhà các loại-;4330: Hoàn thiện công trình",internet
