tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
313600541,CÔNG TY TNHH GEELEAF,CÔNG TY TNHH GEELEAF,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"Tầng 4, Số 6-8 Đường D2, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"6201: Lập trình máy vi tính-;6202: Tư vấn máy vi tính và quản trị hệ thống máy vi tính-;6209: Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính-;6311: Xử lý dữ liệu, cho ",internet
313617136,CÔNG TY TNHH MỘT THÀNH VIÊN CHUYỂN PHÁT NHANH THUẬN PHONG,CÔNG TY TNHH MỘT THÀNH VIÊN CH,Công ty trách nhiệm hữu hạn một thành viên,"Số 199, Đường Điện Biên Phủ , Phường 15, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"5320: Chuyển phát-Chi tiết: Dịch vụ chuyển phát trong phạm vi nội tỉnh, liên tỉnh, quốc tế;4933: Vận tải hàng hóa bằng đường bộ-(trừ hóa lỏng khí để vận chuyển).;5310: Bưu chính-Chi tiết: Dịch vụ bưu ",internet
313613935,CÔNG TY TNHH GIẢI PHÁP PHÂN PHỐI SONG NGUYÊN,CÔNG TY TNHH GIẢI PHÁP PHÂN PH,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"23/26 Phan Đăng Lưu, Phường 3, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"4773: Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh-(Trừ bán lẻ bình gas, khí dầu mỏ hóa lỏng LPG, dầu nhớt cặn, vàng miếng, súng, đạn loại dùng đi săn hoặc thể thao và tiền kim khí; Thực h",internet
314504336,CÔNG TY CỔ PHẦN CÔNG NGHỆ SINH HỌC VIỆT NAM - ISRAEL,CÔNG TY CỔ PHẦN CÔNG NGHỆ SINH,Công ty cổ phần,"57 Nguyễn Ngọc Phương, Phường 19, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"1020: Chế biến, bảo quản thuỷ sản và các sản phẩm từ thuỷ sản-Chi tiết: chế biến và bảo quản nước mắm;4632: Bán buôn thực phẩm-Chi tiết: Bán buôn thịt và các sản phẩm từ thịt; Bán buôn thủy sản và các",internet
314409058,CÔNG TY TNHH SC HOÀNG GIA VIỆT NAM,CÔNG TY TNHH SC HOÀNG GIA VIỆT,Công ty trách nhiệm hữu hạn một thành viên,"Số 602/90 Điện Biên Phủ , Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"7420: Hoạt động nhiếp ảnh-(trừ sản xuất phim);8211: Dịch vụ hành chính văn phòng tổng hợp-;8230: Tổ chức giới thiệu và xúc tiến thương mại-(không thực hiện các hiệu ứng cháy, nổ; không sử dụng chất nổ",internet
313622746,CÔNG TY TNHH ASC PLUS,CÔNG TY TNHH ASC PLUS,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"107 Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"4931: Vận tải hành khách đường bộ trong nội thành, ngoại thành (trừ vận tải bằng xe buýt)-;8230: Tổ chức giới thiệu và xúc tiến thương mại-Chi tiết: Tổ chức hội chợ triển lãm, hội nghị (không thực hiệ",internet
313623059,CÔNG TY TNHH CRAFTER,CÔNG TY TNHH CRAFTER,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"637/16 Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"4722: Bán lẻ thực phẩm trong các cửa hàng chuyên doanh-chi tiết: Bán lẻ bánh trung thu; các loại bánh, mứt, kẹo, đường, sữa và các sản phẩm sữa; các sản phẩm chế biến từ ngũ cốc, bột, tinh bột (Thực h",internet
313710946,CÔNG TY TNHH NGUYỄN HƯNG GIA,CÔNG TY TNHH NGUYỄN HƯNG GIA,Công ty trách nhiệm hữu hạn một thành viên,"282/16A Bùi Hữu Nghĩa, Phường 2, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"0141: Chăn nuôi trâu, bò-(không hoạt động tại trụ sở);0142: Chăn nuôi ngựa, lừa, la-(không hoạt động tại trụ sở);0144: Chăn nuôi dê, cừu-(không hoạt động tại trụ sở);0145: Chăn nuôi lợn-(không hoạt độ",internet
313631236,CÔNG TY CỔ PHẦN ONG ĐÀ LẠT,CÔNG TY CỔ PHẦN ONG ĐÀ LẠT,Công ty cổ phần,"290/40/114 Nơ Trang Long , Phường 12, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"0118: Trồng rau, đậu các loại và trồng hoa, cây cảnh-;0161: Hoạt động dịch vụ trồng trọt-;0163: Hoạt động dịch vụ sau thu hoạch-;1030: Chế biến và bảo quản rau quả-;1075: Sản xuất món ăn, thức ăn chế ",internet
313791568,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU QUỐC TẾ NEVIST,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU,Công ty cổ phần,"195 Phan Văn Hân, Phường 17, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"5912: Hoạt động hậu kỳ-(không thực hiện các hiệu ứng cháy, nổ; không sử dụng chất nổ, chất cháy, hóa chất làm đạo cụ, dụng cụ thực hiện các chương trình văn nghệ, sự kiện, phim ảnh);5913: Hoạt động ph",internet
313639700,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ AD-EXPRESS,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"482/43G Nơ Trang Long, Phường 13, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"4543: Bán phụ tùng và các bộ phận phụ trợ của mô tô, xe máy-;4511: Bán buôn ô tô và xe có động cơ khác-;4620: Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống-Chi tiết: Bán buôn ",internet
314405310,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TRIỆU DOANH,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn một thành viên,"Số 359/3A Nguyễn Xí, Phường 13, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"2610: Sản xuất linh kiện điện tử-Chi tiết: Sản xuất, lắp ráp các mặt hàng điện tử, điện lạnh, điện dân dụng, thiết bị viễn thông, máy vi tính, đồng hồ, điện thoại, máy fax (không hoạt động tại trụ sở)",internet
313636890,CÔNG TY TNHH THIẾT KẾ XÂY DỰNG TIN HỌC THƯƠNG MẠI DỊCH VỤ KIẾN GIA,CÔNG TY TNHH THIẾT KẾ XÂY DỰNG,Công ty trách nhiệm hữu hạn một thành viên,"292/33/10 Bình Lợi, Phường 13, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh-;5630: Dịch vụ phục vụ đồ uống-Chi tiết: Kinh doanh quán cà phê , nước giải khát (trừ hoạt ",internet
315120879,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VŨ TRÚC,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn một thành viên,"Số 26 -28 Đường số 1, Phường 26, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,7110: Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan-Chi tiết: Giám sát thi công xây dựng và hoàn thiện công trình dân dụng và công nghiệp; Lập dự toán và tổng công trình; Tư vấn xây dựng; Thiết ,internet
