tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
313828169,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG CHÍNH NAM,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"410/36 Lê Văn Quới, Phường Bình Hưng Hòa A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Tân,"4311: Phá dỡ-;4312: Chuẩn bị mặt bằng-;4321: Lắp đặt hệ thống điện-Chi tiết:Dây dẫn và thiết bị điện; Đường dây thông tin liên lạc; Mạng máy tính và dây cáp truyền hình, bao gồm cả cáp quang học;Đĩa v",internet
313619197,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIẢI TRÍ SAO BIỂN,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn một thành viên,"78 Hồ Văn Long, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Tân,"5610: Nhà hàng và các dịch vụ ăn uống phục vụ lưu động-Chi tiết:  Quán ăn, hàng ăn uống.;5630: Dịch vụ phục vụ đồ uống-Chi tiết:  Quán cà phê, nước hoa quả, giải khát (trừ hoạt động quán bar và quán g",internet
314287339,CÔNG TY TNHH DCV ASIA,CÔNG TY TNHH DCV ASIA,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"115 Đường 24, Phường Bình Hưng Hòa A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Tân,4669: Bán buôn chuyên doanh khác chưa được phân vào đâu-Chi tiết: Bán buôn phụ liệu may mặc và giày dép; bán buôn mắt kính; Bán buôn phân bón.;5229: Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải,internet
313933082,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐIỆN TỬ ULIVIN,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐIỆ,Công ty cổ phần,"Số 17, Đường 19A, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Tân,"4633: Bán buôn đồ uống-Chi tiết: Thực hiện quyền xuất khẩu, quyền nhập khẩu, quyền phân phối bán buôn các hàng hóa không thuộc diện cấm xuất khẩu, nhập khẩu, phân phối, theo quy định của pháp luật Việ",internet
313625440,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI SẢN XUẤT VÀ DỊCH VỤ NGD,CÔNG TY TNHH MỘT THÀNH VIÊN TH,Công ty trách nhiệm hữu hạn một thành viên,"1 Đường số 5, Khu dân cư Nam Long, Phường An Lạc, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Tân,"1322: Sản xuất hàng may sẵn (trừ trang phục)-(không tẩy, nhuộm, hồ, in và không gia công hàng đã qua sử dụng tại trụ sở).;1701: Sản xuất bột giấy, giấy và bìa-;5022: Vận tải hàng hóa đường thuỷ nội đị",internet
313626074,DOANH NGHIỆP TƯ NHÂN GIẢI TRÍ NÀNG TIÊN CÁNH,DOANH NGHIỆP TƯ NHÂN GIẢI TRÍ ,Doanh nghiệp tư nhân,"38 Nguyễn Triệu Luật, Khu phố 3, Phường Tân Tạo, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Tân,"4723: Bán lẻ đồ uống trong các cửa hàng chuyên doanh-;3320: Lắp đặt máy móc và thiết bị công nghiệp-Chi tiết: Lắp đặt các loại thùng trò chơi điện tử như: thú nhún, đua ngựa, đua heo, đua chó, máy bắn",lap top
313631740,CÔNG TY TNHH KAINO,CÔNG TY TNHH KAINO,Công ty trách nhiệm hữu hạn một thành viên,"61 Miếu Bình Đông, Tổ 336, Khu phố 16, Phường Bình Hưng Hòa A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Tân,"2592: Gia công cơ khí; xử lý và tráng phủ kim loại-(không hoạt động tại trụ sở);4669: Bán buôn chuyên doanh khác chưa được phân vào đâu-Chi tiết: Bán buôn, xuất nhập khẩu các sản phẩm từ nhựa; Bán buô",internet
313629124,CÔNG TY TNHH MINH TÂM VÕ,CÔNG TY TNHH MINH TÂM VÕ,Công ty trách nhiệm hữu hạn một thành viên,"296 Tên Lửa, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Tân,"4632: Bán buôn thực phẩm-Chi tiết: Bán buôn sữa, bánh kẹo và các sản phẩm sữa, bánh kẹo và các sản phẩm chế biến từ ngũ cốc, bột, tinh bột; Bán buôn thực phẩm chức năng;4649: Bán buôn đồ dùng khác cho",internet
313635336,CÔNG TY TNHH HỢP ĐỨC TRÍ,CÔNG TY TNHH HỢP ĐỨC TRÍ,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"418/12E Lê Văn Quới, Phường Bình Hưng Hòa A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Tân,"2710: Sản xuất mô tơ, máy phát, biến thế điện, thiết bị phân phối và điều khiển điện-(không hoạt động tại trụ sở).;2511: Sản xuất các cấu kiện kim loại-(không hoạt động tại trụ sở).;4663: Bán buôn vật",internet
313638094,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI DỊCH VỤ ĐÔNG LÂM,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT T,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"10/3A Chiến Lược, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Tân,"1392: Sản xuất hàng dệt sẵn (trừ trang phục)-Chi tiết: Gia công hàng may mặc; gia công cắt vải, viền, dập, nén (Trừ thuộc da, luyện cán cao su, tái chế phế thải; trừ tẩy, nhuộm, hồ, in trên các sản ph",internet
