tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
313597313,CÔNG TY TNHH NGUYÊN PHÚC VINA,CÔNG TY TNHH NGUYÊN PHÚC VINA,Công ty trách nhiệm hữu hạn một thành viên,"Số 09 Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"3312: Sửa chữa máy móc, thiết bị-Chi tiết: Sửa chữa máy móc, thiết bị và phụ tùng máu văn phòng;9521: Sửa chữa thiết bị nghe nhìn điện tử gia dụng-;3314: Sửa chữa thiết bị điện-;4321: Lắp đặt hệ thống",internet
313599215,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG VÀ MÔI TRƯỜNG SẠCH,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"D2A Lê Đức Thọ, Phường 7, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Quận Gò Vấp,2011: Sản xuất hoá chất cơ bản-Chi tiết: Sản xuất hoá chất trong lĩnh vực công nghiệp (không hoạt động tại trụ sở);2012: Sản xuất phân bón và hợp chất ni tơ-Chi tiết: Sản xuất đất sạch trồng cây (trừ ,internet
313602482,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG THỊNH NHÂN,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG T,Công ty trách nhiệm hữu hạn một thành viên,"102/45/17 Lê Văn Thọ, Phường 11, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Quận Gò Vấp,7110: Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan-Chi tiết: Kiểm định chất lượng công trình; Chứng nhận sự phù hợp chất lượng công trình; Quản lý dự án đầu tư xây dựng công trình; Lập dự án đầ,internet
313604105,DOANH NGHIỆP TƯ NHÂN NETTALK - WGESPORTS,DOANH NGHIỆP TƯ NHÂN NETTALK  ,Doanh nghiệp tư nhân,"1157 Phan Văn Trị, Phường 10, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Quận Gò Vấp,4722: Bán lẻ thực phẩm trong các cửa hàng chuyên doanh-Chi tiết: Bán lẻ thức ăn nhanh (Thực hiện theo Quyết định 64/2009/QĐ-UBND ngày 31/7/2009 vá quyết định 79/2009/QĐ-UBND ngày 17/10/2009 của UBND T,internet
314103454,CÔNG TY TNHH GTECHSOLUTION,CÔNG TY TNHH GTECHSOLUTION,Công ty trách nhiệm hữu hạn một thành viên,"97 Lê Đức Thọ, Phường 7, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh-;5820: Xuất bản phần mềm-chi tiết: Sản xuất , gia công phần mềm; Sản xuất phần mềm trò chơi",internet
313614914,CÔNG TY TNHH THƯƠNG MẠI CÔNG NGHỆ HOÀNG TIẾN,CÔNG TY TNHH THƯƠNG MẠI CÔNG N,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"710/2/9 Phan Văn Trị, Phường 10, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"2610: Sản xuất linh kiện điện tử-(không hoạt động tại trụ sở);2620: Sản xuất máy vi tính và thiết bị ngoại vi của máy vi tính-(không hoạt động tại trụ sở);2651: Sản xuất thiết bị đo lường, kiểm tra, đ",internet
313632889,CÔNG TY TRÁCH NHIỆM HỮU HẠN COLORFUL,CÔNG TY TRÁCH NHIỆM HỮU HẠN CO,Công ty trách nhiệm hữu hạn một thành viên,"171/14/40 Nguyễn Tư Giản, Phường 12, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"1629: Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện-(không hoạt động tại trụ sở);1811: In ấn-Chi tiết: In bao bì giấy và nilon (không in trên các sản phẩm vả",internet
313938612,CÔNG TY TNHH AZTECH,CÔNG TY TNHH AZTECH,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"135 Đường số 12, KDC Cityland, Phường 10, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"4631: Bán buôn gạo, lúa mỳ, hạt ngũ cốc khác, bột mỳ-(Không hoạt động tại trụ sở); 4632: Bán buôn thực phẩm-Chi tiết: Bán buôn thịt và các sản phẩm từ thịt. Bán buôn thủy sản. Bán buôn rau, quả.",internet
315332908,CÔNG TY TNHH MTV PZL,CÔNG TY TNHH MTV PZL,Công ty trách nhiệm hữu hạn một thành viên,"17/66 Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Quận Gò Vấp,8299: Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu-Chi tiết: Xuất nhập khẩu các mặt hàng Công ty kinh doanh;4633: Bán buôn đồ uống-;4723: Bán lẻ đồ uống trong các cửa hàng c,internet
315400516,CÔNG TY TNHH PHÁT TRIỂN GU CÀ PHÊ VIỆT,CÔNG TY TNHH PHÁT TRIỂN GU CÀ ,Công ty trách nhiệm hữu hạn một thành viên,"22/21/1 Đường số 21, Phường 8, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"4632: Bán buôn thực phẩm-chi tiết: Bán buôn thực phẩm, thực phẩm công nghệ, cà phê chế biến, bột ngũ cốc, trái cây; Bán buôn các loại chè (không hoạt động tại trụ sở); Bán buôn cà phê; Bán buôn đường ",internet
