tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
313610846,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI M.L.C HEALTHCARE,CÔNG TY TNHH SẢN XUẤT THƯƠNG M,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"Số 137 Trần Huy Liệu, Phường 08, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Quận Phú Nhuận,"4222: Xây dựng công trình cấp, thoát nước-;4223: Xây dựng công trình viễn thông, thông tin liên lạc-(Trừ các loại thông tin nhà nước cấm và dịch vụ điều tra); 4229: Xây dựng công trình công ích khác-;",internet
313609865,CÔNG TY TNHH DỊCH VỤ TƯ VẤN ASEAN,CÔNG TY TNHH DỊCH VỤ TƯ VẤN AS,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"702A, Tầng 7, Tòa nhà Centre Point, 106 Nguyễn Văn Trỗi, Phường 08, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Quận Phú Nhuận,"8230: Tổ chức giới thiệu và xúc tiến thương mại-Chi tiết: Tổ chức hội nghị, hội thảo, hội chợ triển lãm, sự kiện (không thực hiện các hiệu ứng cháy, nổ; không sử dụng chất nổ, chất cháy, hóa chất làm ",internet
313609840,CÔNG TY TNHH BEST EYE,CÔNG TY TNHH BEST EYE,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"26 Nguyễn Văn Đậu, Phường 05, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Quận Phú Nhuận,"6329: Dịch vụ thông tin khác chưa được phân vào đâu-Chi tiết: dịch vụ cho thuê hosting, domain;6209: Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính-(trừ kinh doanh dđạ",internet
313613300,CÔNG TY CỔ PHẦN CỔNG NHÀ ĐẤT,CÔNG TY CỔ PHẦN CỔNG NHÀ ĐẤT,Công ty cổ phần,"Lầu 4, 262 Huỳnh Văn Bánh , Phường 11, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Quận Phú Nhuận,"6201: Lập trình máy vi tính-;6311: Xử lý dữ liệu, cho thuê và các hoạt động liên quan-;6312: Cổng thông tin-chi tiết: thiết lập trang thông tin điện tử ứng dụng chuyên ngành;6329: Dịch vụ thông tin kh",internet
313623027,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN NSC,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT,Công ty cổ phần,"Số 7, Hoa Thị, Phường 07, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Quận Phú Nhuận,8559: Giáo dục khác chưa được phân vào đâu-Chi tiết: Giáo dục không xác định theo cấp độ tại các trung tâm đào tạo bồi dưỡng; các dịch vụ dạy kèm( gia sư); Giáo dục dự bị; các trung tâm dạy học có các,internet
313644958,CÔNG TY TNHH YAH SOLUTION,CÔNG TY TNHH YAH SOLUTION,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"92 Thích Quảng Đức, Phường 05, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Quận Phú Nhuận,"4772: Bán lẻ thuốc, dụng cụ y tế, mỹ phẩm và vật phẩm vệ sinh trong các cửa hàng chuyên doanh-Chi tiết: Bán lẻ mắt kính, đồng hồ. Bán lẻ nước hoa, hàng mỹ phẩm và chế phẩm vệ sinh.;4771: Bán lẻ hàng m",internet
313649843,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI NAM VIỆT PHÚ,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"42/6 Nguyễn Văn Trỗi, Phường 15, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Quận Phú Nhuận,"1811: In ấn-(trừ in tráng bao bì kim loại, in trên các sản phẩm vải sợi, dệt, may, đan tại trụ sở);1812: Dịch vụ liên quan đến in-;5911: Hoạt động sản xuất phim điện ảnh, phim video và chương trình tr",internet
315539719,CÔNG TY TNHH ROVER,CÔNG TY TNHH ROVER,Công ty trách nhiệm hữu hạn một thành viên,"16 Lê Quý Đôn, Phường 11, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Quận Phú Nhuận,"4632: Bán buôn thực phẩm-(không hoạt động tại trụ sở) 
Chi tiết: Bán buôn muối; 4620: Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống-(không hoạt động tại trụ sở) 
Chi tiết: - B",internet
313654096,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CÔNG NGHỆ TƯƠNG TÁC FIRST,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"21 Đào Duy Anh, Phường 09, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Quận Phú Nhuận,"4659: Bán buôn máy móc, thiết bị và phụ tùng máy khác-Chi tiết: Bán buôn máy móc, thiết bị ngành quảng cáo và truyền thông. Bán buôn máy phát điện, động cơ điện, dây điện và thiết bị khác dùng trong m",internet
313661872,CÔNG TY TNHH ASIA INNOVATIONS NETWORK VIỆT NAM,CÔNG TY TNHH ASIA INNOVATIONS ,Công ty trách nhiệm hữu hạn một thành viên,"38/26 Nguyễn Văn Trỗi, Phường 15, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Quận Phú Nhuận,"6311: Xử lý dữ liệu, cho thuê và các hoạt động liên quan-Chi tiết: dịch vụ xử lý dữ liệu (CPC 843)
(Doanh nghiệp không được cung cấp “dịch vụ thông tin trực tuyến và xử lý dữ liệu bao gồm cả xử lý gia",network
