tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
313815353,CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI GIAO HÀNG NHANH TÍC TẮC,CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG,Công ty trách nhiệm hữu hạn một thành viên,"20/11, đường 16, Phường Linh Đông, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Quận Thủ Đức,"5229: Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải-chi tiết: dịch vụ giao nhận hàng hóa 
(Trừ hóa lỏng khí để vận chuyển và hoạt động liên quan đến vận tải hàng không );6312: Cổng thông tin-chi",internet
313604634,DOANH NGHIỆP TƯ NHÂN DỊCH VỤ INTERNET VÀ TRÒ CHƠI ĐIỆN TỬ CÔNG CỘNG 79 GAMING,DOANH NGHIỆP TƯ NHÂN DỊCH VỤ I,Doanh nghiệp tư nhân,"73 Đường B Trưng Trắc, Phường Hiệp Bình Chánh, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Quận Thủ Đức,"4719: Bán lẻ khác trong các cửa hàng kinh doanh tổng hợp-Chi tiết: Bán lẻ thẻ sim, thẻ cào, thẻ điện thoại;4724: Bán lẻ sản phẩm thuốc lá, thuốc lào trong các cửa hàng chuyên doanh-Chi tiết: Bán lẻ sả",internet
313612956,CÔNG TY TNHH PHẦN MỀM 102,CÔNG TY TNHH PHẦN MỀM 102,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"102 đường 16, Khu phố 5, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Quận Thủ Đức,"4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh-;5820: Xuất bản phần mềm-Chi tiết: Sản xuất phần mềm; Sản xuất phần mềm ứng dụng trên thiết",internet
313638707,CÔNG TY TNHH TRANG TRÍ NỘI THẤT AN PHÁT CƯỜNG,CÔNG TY TNHH TRANG TRÍ NỘI THẤ,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"31/7 đường số 5, khu phố 3, Phường Linh Tây, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Quận Thủ Đức,"4649: Bán buôn đồ dùng khác cho gia đình-Chi tiết: Bán buôn hàng trang trí nội thất, hàng thủ công mỹ nghệ, hàng lưu niệm, hàng điện tử gia dụng, kim khí điện máy, điện lạnh.;4641: Bán buôn vải, hàng ",internet
313641770,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TÂN KỶ NGUYÊN SÀI GÒN,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊC,Công ty trách nhiệm hữu hạn một thành viên,"Số 10, Quốc lộ 13, Phường Hiệp Bình Chánh, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Quận Thủ Đức,"1811: In ấn-(chỉ hoạt động khi có đủ điều kiện theo quy định của Pháp luật).;4759: Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa",internet
316140613,CÔNG TY TNHH THƯƠNG MẠI TAKI,CÔNG TY TNHH THƯƠNG MẠI TAKI,Công ty trách nhiệm hữu hạn một thành viên,"Số 5, Đường số 10, Khu Phố 6, Phường Hiệp Bình Chánh, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Quận Thủ Đức,"4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh-;4742: Bán lẻ thiết bị nghe nhìn trong các cửa hàng chuyên doanh-;4751: Bán lẻ vải, len, sợ",internet
313655205,DOANH NGHIỆP TƯ NHÂN INTERNET TẤN LỘC,DOANH NGHIỆP TƯ NHÂN INTERNET ,Doanh nghiệp tư nhân,"Số 55 đường 14, Khu Dân Cư Hồng Long, Phường Hiệp Bình Phước, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Quận Thủ Đức,4722: Bán lẻ thực phẩm trong các cửa hàng chuyên doanh-(thực hiện theo quyết định 64/2009/QĐ-UBND ngày 31/7/2009 và quyết định 79/2009/QĐ-UBND ngày 17/10/2009 của UBND TPHCM về phê duyệt kinh doanh nô,internet
313677350,CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ HÀNG KHÔNG SCQ,CÔNG TY TNHH MỘT THÀNH VIÊN DỊ,Công ty trách nhiệm hữu hạn một thành viên,"1047/20 Tỉnh lộ 43, Phường Bình Chiểu, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Quận Thủ Đức,"5229: Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải-Chi tiết: 
- Đại lý vé máy bay;
- Đại lý vé tàu hỏa;
- Đại lý vận tải hàng hóa bằng đường hàng không, đường thủy, đường sắt;
- Hoạt động của đ",internet
313685538,CÔNG TY TNHH VIỆT NGÂN PHÁT,CÔNG TY TNHH VIỆT NGÂN PHÁT,Công ty trách nhiệm hữu hạn một thành viên,"44 Đường số 17, Khu phố 3, Phường Hiệp Bình Chánh, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Quận Thủ Đức,"2396: Cắt tạo dáng và hoàn thiện đá-(không hoạt động tại trụ sở);0118: Trồng rau, đậu các loại và trồng hoa, cây cảnh-(không hoạt động tại trụ sở);0121: Trồng cây ăn quả-(không hoạt động tại trụ sở);0",internet
313669737,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ LỮ HÀNH XE ĐẠP SÀI GÒN,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn một thành viên,"Số 4, Đường Linh Trung, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Quận Thủ Đức,"4763: Bán lẻ thiết bị, dụng cụ thể dục, thể thao trong các cửa hàng chuyên doanh-Chi tiết: Bán lẻ chuyên doanh các mặt hàng: Bán lẻ thiết bị, đồ dùng, dụng cụ thể dục thể thao, đồ dùng cắm trại và xe ",internet
313675755,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TRƯƠNG BÌNH,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"31A Đường số 7, Khu phố 1, Phường Hiệp Bình Chánh, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Quận Thủ Đức,"4649: Bán buôn đồ dùng khác cho gia đình-(trừ dược phẩm);4659: Bán buôn máy móc, thiết bị và phụ tùng máy khác-;4669: Bán buôn chuyên doanh khác chưa được phân vào đâu-(trừ bán buôn bình gas, khí dầu ",internet
313699763,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐẦU TƯ ANH QUỐC,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn một thành viên,"41/28 Đường số 9, Khu phố 2, Phường Linh Tây, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Quận Thủ Đức,"4662: Bán buôn kim loại và quặng kim loại-(trừ mua bán vàng miếng);4663: Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng-Chi tiết: Bán buôn vật liệu xây dựng (không chứa hàng tại trụ sở);6190:",internet
313673162,CÔNG TY TNHH THAVISOFT,CÔNG TY TNHH THAVISOFT,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"2C/1/21 Đường 39, khu phố 6, Phường Linh Đông, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Quận Thủ Đức,5011: Vận tải hành khách ven biển và viễn dương-;5012: Vận tải hàng hóa ven biển và viễn dương-;5021: Vận tải hành khách đường thuỷ nội địa-;5022: Vận tải hàng hóa đường thuỷ nội địa-;5229: Hoạt động ,internet
313727026,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ LÊ THANH PHÚ,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn một thành viên,"42A đường số 5, Khu phố 1, Phường Hiệp Bình Chánh, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Quận Thủ Đức,"6820: Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất-Chi tiết: Môi giới bất động sản.;7020: Hoạt động tư vấn quản lý-Chi tiết: Tư vấn về quản lý doanh nghiệp (trừ tư vấn tài chính, ",internet
313726696,CÔNG TY TNHH GOLDEN LOTUS INVESTMENT CONSULTANT- ALAND FINLAND,CÔNG TY TNHH GOLDEN LOTUS INVE,Công ty trách nhiệm hữu hạn một thành viên,"99/12/10 Đường Số 10, Khu Phố 5, Phường Hiệp Bình Chánh, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Quận Thủ Đức,"4632: Bán buôn thực phẩm-- Chi tiết: Bán buôn đường, sữa, bánh kẹo và các sản phẩm chế biến từ ngũ cốc, bột, tinh bột, bột, tinh bột (không bán buôn đường tại trụ sở);4641: Bán buôn vải, hàng may sẵn,",internet
313749735,CÔNG TY TNHH THIẾT BỊ THƯƠNG MẠI DỊCH VỤ TRẦN LÊ,CÔNG TY TNHH THIẾT BỊ THƯƠNG M,Công ty trách nhiệm hữu hạn một thành viên,"74/10/3 Đường 36, Khu phố 8, Phường Linh Đông, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Quận Thủ Đức,"0118: Trồng rau, đậu các loại và trồng hoa, cây cảnh-(không hoạt động tại trụ sở);0130: Nhân và chăm sóc cây giống nông nghiệp-(không hoạt động tại trụ sở);0161: Hoạt động dịch vụ trồng trọt-trừ hoạt ",internet
