tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
313600904,CÔNG TY TNHH ANTA6,CÔNG TY TNHH ANTA6,Công ty trách nhiệm hữu hạn một thành viên,"405/16/5 Trường Chinh, Phường 14, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"4329: Lắp đặt hệ thống xây dựng khác-Chi tiết: Lắp đặt hệ thống đèn chiếu sáng, hệ thống âm thành, hệ thống thông báo cháy, chữa cháy, hệ thống chống trộm, camera quan sát (trừ g",internet
313599744,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ LẮP ĐẶT HÂN LINH,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn một thành viên,"35 Tân Canh, Phường 1, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh-Chi tiết: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông; Bán lẻ đi",internet
313609431,CÔNG TY TNHH THƯƠNG MẠI VẬN TẢI VÀ TƯ VẤN DỊCH VỤ THUẬN PHÁT,CÔNG TY TNHH THƯƠNG MẠI VẬN TẢ,Công ty trách nhiệm hữu hạn một thành viên,"229/12 Bùi Thị Xuân, Phường 1, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"5022: Vận tải hàng hóa đường thuỷ nội địa-;5229: Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải-Chi tiết: Gửi hàng; Giao nhận hàng hóa; Thu, phát các chứng từ vận tải và vận đơn; Hoạt động của đạ",internet
313612360,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐẠI PHÚ THÁI,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn một thành viên,"730/49/10 Lạc Long Quân, Phường 9, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"1709: Sản xuất các sản phẩm khác từ giấy và bìa chưa được phân vào đâu-; 1811: In ấn-; 1812: Dịch vụ liên quan đến in-; 4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông tro",internet
313613910,CÔNG TY TNHH PHÁT TRIỂN THƯƠNG MẠI VẬN TẢI PHƯỢNG HOÀNG,CÔNG TY TNHH PHÁT TRIỂN THƯƠNG,Công ty trách nhiệm hữu hạn một thành viên,"139 Thành Mỹ, Phường 8, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"7710: Cho thuê xe có động cơ-;4512: Bán lẻ ô tô con (loại 12 chỗ ngồi trở xuống)-Bán lẻ ô tô con (loại 9 chỗ ngồi trở xuống); 4513: Đại lý ô tô và xe có động cơ khác-;4520: Bảo dưỡng, sửa chữa ô tô và",internet
314352034,CÔNG TY TNHH WONDER VINA,CÔNG TY TNHH WONDER VINA,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"86/36/3 Phổ Quang, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"4669: Bán buôn chuyên doanh khác chưa được phân vào đâu-chi tiết: thực hiện quyền xuất khẩu, quyền nhập khẩu, quyền phân phối bán buôn (không thành lập cở sở bán buôn) các mặt hàng không thuộc danh mụ",internet
313619246,CÔNG TY TNHH TIẾP THỊ TRUYỀN THÔNG SUREWAY,CÔNG TY TNHH TIẾP THỊ TRUYỀN T,Công ty trách nhiệm hữu hạn một thành viên,"2/16 Chấn Hưng, Phường 6, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"1702: Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bìa-(không hoạt động tại trụ sở);1811: In ấn-(trừ in, tráng bao bì kim loại, in trên sản phẩm vải, sợi, dệt, may đan tại trụ sở).;1812: Dịch vụ li",internet
313683160,CÔNG TY TNHH DB & PARTNERS,CÔNG TY TNHH DB  PARTNERS,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"122/3 Yên Thế, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"4781: Bán lẻ lương thực, thực phẩm, đồ uống, thuốc lá, thuốc lào lưu động hoặc tại chợ-(thực hiện theo quyết định số 64/2009/QĐ-UBND ngày 31/07/2009 và quyết định số 79/2009/QĐ- UBND ngày 17/10/2009 c",internet
313625641,CÔNG TY CỔ PHẦN CÔNG NGHỆ QUỐC TẾ DTDV,CÔNG TY CỔ PHẦN CÔNG NGHỆ QUỐC,Công ty cổ phần,"122 Bình Giã, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh-;6201: Lập trình máy vi tính-;6202: Tư vấn máy vi tính và quản trị hệ thống máy vi tính-Chi",internet
313628233,CÔNG TY CỔ PHẦN PHẦN MỀM TPS,CÔNG TY CỔ PHẦN PHẦN MỀM TPS,Công ty cổ phần,"Tòa Waseco Khu C Lầu 3, Số 10, Đường Phổ Quang, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"5820: Xuất bản phần mềm-Chi tiết: Sản xuất phần mềm;6201: Lập trình máy vi tính-;6202: Tư vấn máy vi tính và quản trị hệ thống máy vi tính-;4651: Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm-Ch",internet
