tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
313809159,CÔNG TY TNHH GIẢI PHÁP CNTT HÀNH TINH XANH,CÔNG TY TNHH GIẢI PHÁP CNTT HÀ,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"547/N1/104 Nguyễn Tri Phương, Phường 14, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",Quận 10,"4659: Bán buôn máy móc, thiết bị và phụ tùng máy khác-;4651: Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm-; 4652: Bán buôn thiết bị và linh kiện điện tử, viễn thông-;6201: Lập trình máy vi tính",cntt
313716899,CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ TƯ VẤN GIẢI PHÁP TIÊN PHONG,CÔNG TY TNHH MỘT THÀNH VIÊN DỊ,Công ty trách nhiệm hữu hạn một thành viên,"B199D,Nguyễn Văn Quá,Tổ 7,Khu phố 7, phường Đông Hưng Thuận, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"7110: Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan-- Tư vấn cung cấp thông tin về văn bản quy phạm pháp luật, cơ chế chính sách đầu tư ứng dụng công nghệ thông tin;
- Tư vấn khảo sát, lập, quản",cntt
314506365,CÔNG TY TNHH CNT TECH VIỆT NAM,CÔNG TY TNHH CNT TECH VIỆT NAM,Công ty trách nhiệm hữu hạn một thành viên,"Tầng 2 thuộc Tòa nhà B, Khu vườn Ươm doanh nghiệp tại Lô D1, đường Tân Thuận, khu chế xuất Tân Thuận, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Quận 7,"6201: Lập trình máy vi tính-Chi tiết: Dịch vụ lập trình máy vi tính, thiết kế các phần mềm ứng dụng (CPC: 842);6202: Tư vấn máy vi tính và quản trị hệ thống máy vi tính-Chi tiết: Hoạt động lập và thiế",cntt
314487546,CÔNG TY TNHH CNTT KIẾN TẠO,CÔNG TY TNHH CNTT KIẾN TẠO,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"413/26E Lê Văn Sỹ , Phường 12, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Quận 3,"4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh-;4742: Bán lẻ thiết bị nghe nhìn trong các cửa hàng chuyên doanh-;5820: Xuất bản phần mềm-c",cntt
315437851,CÔNG TY TNHH ĐÀO TẠO QUẢN LÝ MTHI,CÔNG TY TNHH ĐÀO TẠO QUẢN LÝ M,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"Lầu 13 tòa nhà ACB, 480 Nguyễn Thị Minh Khai, Phường 02, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Quận 3,"6209: Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính-;7020: Hoạt động tư vấn quản lý-(trừ tư vấn tài chính, kế toán, pháp luật);8559: Giáo dục khác chưa được phân vào ",cntt
316217672,CÔNG TY TNHH CNTT HƯNG PHÁT,CÔNG TY TNHH CNTT HƯNG PHÁT,Công ty trách nhiệm hữu hạn một thành viên,"12A Đường số 24, Khu Phố 7, Phường Linh Đông, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Quận Thủ Đức,"4649: Bán buôn đồ dùng khác cho gia đình-Chi tiết: Bán buôn đồ điện gia dụng, đèn và bộ đèn điện; bán buôn sách, báo, tạp chí, văn phòng phẩm;8559: Giáo dục khác chưa được phân vào đâu-Chi tiết: Dạy m",cntt
316494411,CÔNG TY TNHH CNTT UY VŨ,CÔNG TY TNHH CNTT UY VŨ,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"B4/24K Đường Võ Văn Vân, Xã Vĩnh Lộc B, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",,"4329: Lắp đặt hệ thống xây dựng khác-Chi tiết: Lắp đặt, thi công tổng đài nội bộ, máy ghi âm đàm thoại, camera quan sát, hệ thống điện tử, viễn thông,Khóa cửa thông minh,(Không gia công cơ khí, tái ch",cntt
316564080,CÔNG TY TNHH TƯ VẤN MỸ THUẬT VÀ THIẾT KẾ CNTT MAPLE,CÔNG TY TNHH TƯ VẤN MỸ THUẬT V,Công ty trách nhiệm hữu hạn một thành viên,"Số 16 Đường 79, Phường Tân Quy, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Quận 7,"4322: Lắp đặt hệ thống cấp, thoát nước, hệ thống sưởi và điều hoà không khí-(trừ lắp đặt các thiết bị lạnh (thiết bị cấp đông, kho lạnh, máy đá, điều hòa không khí, làm lạnh nước) sử dụng ga lạnh R22 ",cntt
316661768,CÔNG TY TNHH CNTT BCUP VIỆT NAM,CÔNG TY TNHH CNTT BCUP VIỆT NA,Công ty trách nhiệm hữu hạn một thành viên,"669 Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,7990: Dịch vụ đặt chỗ và các dịch vụ hỗ trợ liên quan đến quảng bá và tổ chức tua du lịch-;6201: Lập trình máy vi tính-Chi tiết: Sản xuất phần mềm;6209: Hoạt động dịch vụ công nghệ thông tin và dịch v,cntt
316728483,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN BSN,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT,Công ty cổ phần,"Toà nhà Qunimex, 28 Nguyễn Thị Diệu , Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Quận 3,"4652: Bán buôn thiết bị và linh kiện điện tử, viễn thông-Chi tiết: Bán buôn thiết bị ngoại vi, điện tử viễn thông, thiết bị điều khiển, thiết bị quan sát, camera;6201: Lập trình máy vi tính-Chi tiết: ",cntt
