tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
313720528,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ PHÚC TIẾN COMPUTER,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘ,Công ty trách nhiệm hữu hạn một thành viên,"90 Nguyên Hồng, Phường 11, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh-;3312: Sửa chữa máy móc, thiết bị-;4651: Bán buôn máy vi tính, thiết bị ngoại vi và phần mề",computer
313850439,CÔNG TY TNHH MỘT THÀNH VIÊN TK COMPUTER,CÔNG TY TNHH MỘT THÀNH VIÊN TK,Công ty trách nhiệm hữu hạn một thành viên,"114A1 Tôn Thất Tùng, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,"4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh-;4761: Bán lẻ sách, báo, tạp chí văn phòng phẩm trong các cửa hàng chuyên doanh-chi tiết: b",computer
314036913,CÔNG TY TNHH FCS COMPUTER SYSTEMS (VIỆT NAM),CÔNG TY TNHH FCS COMPUTER SYST,Công ty trách nhiệm hữu hạn một thành viên,"Lầu 1, Tòa nhà Kicotrans, số 44-46-48 đường Bạch Đằng 2, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"4690: Bán buôn tổng hợp-chi tiết: thực hiên quyền nhập khẩu, quyền xuất khẩu, quyền phân phối bán buôn (không thành lập cơ sở bán buôn) các hàng hóa có mã HS không thuộc danh mục cấm xuất khẩu, nhập k",computer
314109343,CÔNG TY TNHH THÀNH PHÁT COMPUTER,CÔNG TY TNHH THÀNH PHÁT COMPUT,Công ty trách nhiệm hữu hạn một thành viên,"Số 195 đường số 15, Khu Dân Cư Ấp 5, Xã Phong Phú, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",,"4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh-chi tiết: bán lẻ chuyên doanh các mặt hàng như máy vi tính, thiết bị ngoại vi máy tính, thi",computer
313894436,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GS COMPUTER,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn một thành viên,"262/60B Tôn Thất Thuyết, Phường 03, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Quận 4,4669: Bán buôn chuyên doanh khác chưa được phân vào đâu-chi tiết: bán buôn mực in;5820: Xuất bản phần mềm-chi tiết: Sản xuất phần mềm.;6209: Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên ,computer
314360028,CÔNG TY TNHH HT COMPUTER,CÔNG TY TNHH HT COMPUTER,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"667/20 Tân Sơn, Khu phố 15, Phường 12, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"6202: Tư vấn máy vi tính và quản trị hệ thống máy vi tính-;6209: Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính-;4651: Bán buôn máy vi tính, thiết bị ngoại vi và phần ",computer
314380553,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ CÔNG NGHỆ TM COMPUTER,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊC,Công ty trách nhiệm hữu hạn một thành viên,"80A Trần Quang Khải, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,"5920: Hoạt động ghi âm và xuất bản âm nhạc-Chi tiết: Hoạt động sản xuất ghi âm gốc như ghi băng, đĩa CD-s; DVD.;7721: Cho thuê thiết bị thể thao, vui chơi giải trí-Chi tiết: Cho thuê thiết bị âm thanh",computer
314399258,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NAM VIỆT COMPUTER,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn một thành viên,"312/18 Âu Dương Lân, Phường 2, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",Quận 8,"4759: Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu trong các cửa hàng chuyên doanh-Chi tiết: Bán buôn máy sin",computer
314635730,CÔNG TY TNHH N.K.C COMPUTER,CÔNG TY TNHH NKC COMPUTER,Công ty trách nhiệm hữu hạn một thành viên,"801/3/20 Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,2610: Sản xuất linh kiện điện tử-;2620: Sản xuất máy vi tính và thiết bị ngoại vi của máy vi tính-;6110: Hoạt động viễn thông có dây-;6120: Hoạt động viễn thông không dây-;6201: Lập trình máy vi tính-,computer
314528760,CÔNG TY TNHH ĐẠI LỘC COMPUTER,CÔNG TY TNHH ĐẠI LỘC COMPUTER,Công ty trách nhiệm hữu hạn một thành viên,"885/15 Hoàng Sa, Phường 09, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Quận 3,"4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh-;6110: Hoạt động viễn thông có dây-;6120: Hoạt động viễn thông không dây-;6201: Lập trình m",computer
314727822,CÔNG TY TNHH ROOXIM COMPUTER SCIENCE,CÔNG TY TNHH ROOXIM COMPUTER S,Công ty trách nhiệm hữu hạn một thành viên,"92 Thích Quảng Đức, Phường 05, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Quận Phú Nhuận,6209: Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính-Chi tiết: Dịch vụ thiết kế đồ họa (không bao gồm các hoạt động thuộc dịch vụ quảng cáo thuộc CPC 871) (CPC: 849);7,computer
314815148,CÔNG TY TNHH COMPUTER TẦM NHÌN,CÔNG TY TNHH COMPUTER TẦM NHÌN,Công ty trách nhiệm hữu hạn một thành viên,"37 Đường Dân Chủ, Phường Bình Thọ, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,"3312: Sửa chữa máy móc, thiết bị-;4659: Bán buôn máy móc, thiết bị và phụ tùng máy khác-;3313: Sửa chữa thiết bị điện tử và quang học-;3314: Sửa chữa thiết bị điện-;4651: Bán buôn máy vi tính, thiết b",computer
314843681,CÔNG TY TNHH GIA PHÁT COMPUTER,CÔNG TY TNHH GIA PHÁT COMPUTER,Công ty trách nhiệm hữu hạn một thành viên,"Số 153 Trần Văn Đang, Phường 11, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Quận 3,"4651: Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm-Chi tiết: Bán buôn máy vi tính, máy in, máy scan, máy phô tô, thiết bị ngoại vi và phần mềm; 4652: Bán buôn thiết bị và linh kiện điện tử, viễ",computer
314934106,CÔNG TY TNHH TS COMPUTER,CÔNG TY TNHH TS COMPUTER,Công ty trách nhiệm hữu hạn một thành viên,"12 Hồ Đắc Di, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Phú,2610: Sản xuất linh kiện điện tử-(không hoạt động tại trụ sở);2620: Sản xuất máy vi tính và thiết bị ngoại vi của máy vi tính-(không hoạt động tại trụ sở);2630: Sản xuất thiết bị truyền thông-(không h,computer
315020440,CÔNG TY TNHH MINH NGUYỄN COMPUTER,CÔNG TY TNHH MINH NGUYỄN COMPU,Công ty trách nhiệm hữu hạn một thành viên,"101 Đường số 385, Phường Tăng Nhơn Phú A, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",Quận 9,"4651: Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm-chi tiết: Bán buôn máy vi tính, máy chơi game;4659: Bán buôn máy móc, thiết bị và phụ tùng máy khác-chi tiết: Bán buôn máy in, máy quét mã vạc",computer
315239698,CÔNG TY TNHH SHIOZAWA COMPUTER DEVELOPMENT,CÔNG TY TNHH SHIOZAWA COMPUTER,Công ty trách nhiệm hữu hạn một thành viên,"Lầu 3, toà nhà The Shark, số 38E Trần Cao Vân, Phường 06, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Quận 3,6201: Lập trình máy vi tính-(CPC 842);6202: Tư vấn máy vi tính và quản trị hệ thống máy vi tính-(CPC 842);6209: Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính-(CPC 849,computer
315186950,CÔNG TY TNHH ALTECH COMPUTER SYSTEM,CÔNG TY TNHH ALTECH COMPUTER S,Công ty trách nhiệm hữu hạn một thành viên,"105-107 Đường Cô Giang , Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,"4651: Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm-Chi tiết: Bán buôn, xuất nhập khẩu máy vi tính, thiết bị ngoại vi và phần mềm (CPC 622);4652: Bán buôn thiết bị và linh kiện điện tử, viễn thô",computer
315385667,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THANH PHÁT COMPUTER,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"23 Lê Thị Hà, Xã Tân Xuân, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",,"4774: Bán lẻ hàng hóa đã qua sử dụng trong các cửa hàng chuyên doanh-(trừ bán lẻ bình gas, khí dầu mỏ hóa lỏng LPG, dầu nhớt cặn, vàng miếng, súng, đạn loại dùng đi săn hoặc thể thao và tiền kim khí v",computer
