tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
314119870,CÔNG TY TNHH ALINCO ELECTRONICS VIỆT NAM,CÔNG TY TNHH ALINCO ELECTRONIC,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"Số 56 Yên Thế, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"4690: Bán buôn tổng hợp-Chi tiết: Thực hiện quyền xuất khẩu, quyền nhập khẩu và quyền phân phối bán buôn (không thành lập cơ sở bán buôn) các hàng hóa có mã HS không thuộc danh mục cấm xuất khẩu, nhập",electronic
314016346,CÔNG TY TNHH DE ASPIRE ELECTRONICS,CÔNG TY TNHH DE ASPIRE ELECTRO,Công ty trách nhiệm hữu hạn một thành viên,"Phòng 702A, Tầng 7, Tòa nhà Centrepoint, 106 Nguyễn Văn Trỗi, Phường 08, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Quận Phú Nhuận,"2620: Sản xuất máy vi tính và thiết bị ngoại vi của máy vi tính-;4663: Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng-;4669: Bán buôn chuyên doanh khác chưa được phân vào đâu-Chi tiết: Bán bu",electronic
314536828,CÔNG TY TNHH SHIIMA ELECTRONICS VIỆT NAM,CÔNG TY TNHH SHIIMA ELECTRONIC,Công ty trách nhiệm hữu hạn một thành viên,"Phòng 9, Lầu 23, tòa nhà A&B, số 76A đường Lê Lai, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,"4669: Bán buôn chuyên doanh khác chưa được phân vào đâu-Chi tiết: Thực hiện quyền xuất khẩu, quyền nhập khẩu và quyền phân phối bán buôn cao su, chất dẻo, hóa chất khác (trừ hóa chất dùng trong nông n",electronic
314466546,CÔNG TY TNHH NAM Á ELECTRONIC,CÔNG TY TNHH NAM Á ELECTRONIC,Công ty trách nhiệm hữu hạn một thành viên,"400 Nhật Tảo, Phường 06, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",Quận 10,"4742: Bán lẻ thiết bị nghe nhìn trong các cửa hàng chuyên doanh-;4759: Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân v",electronic
314749495,CÔNG TY TNHH ADVANCED DIGITAL ELECTRONICS,CÔNG TY TNHH ADVANCED DIGITAL ,Công ty trách nhiệm hữu hạn một thành viên,"467/39 Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"3312: Sửa chữa máy móc, thiết bị-(trừ gia công cơ khí, tái chế phế thải, xi mạ điện tại trụ sở);3313: Sửa chữa thiết bị điện tử và quang học-(trừ gia công cơ khí, tái chế phế thải, xi mạ điện tại trụ ",electronic
314244014,CÔNG TY TNHH IFM ELECTRONIC VIỆT NAM,CÔNG TY TNHH IFM ELECTRONIC VI,Công ty trách nhiệm hữu hạn một thành viên,"Phòng 401, Tầng 4, Tòa nhà HD Tower, Số 25Bis Nguyễn Thị Minh Khai, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,"4690: Bán buôn tổng hợp-chi tiết: thực hiện quyền xuất khẩu, quyền nhập khẩu, quyền phân phối bán buôn (không thành lập cở sở bán buôn) các hàng hóa không thuộc danh mục cấm xuất khẩu, nhập khẩu hoặc ",electronic
314893555,CÔNG TY TNHH JFE SHOJI ELECTRONICS VIỆT NAM,CÔNG TY TNHH JFE SHOJI ELECTRO,Công ty trách nhiệm hữu hạn một thành viên,"Tầng 3B, 104 Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"3320: Lắp đặt máy móc và thiết bị công nghiệp-Chi tiết: Lắp ráp, lắp đặt máy móc và thiết bị mà công ty đăng ký thực hiện quyền nhập khẩu và quyền phân phối (CPC 885); 7020: Hoạt động tư vấn quản lý-C",electronic
315508118,CÔNG TY TNHH ELECTRONIC EQUIPMENT,CÔNG TY TNHH ELECTRONIC EQUIPM,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"Tầng 7, Tòa nhà Sabay Tower, Số 11A Hồng Hà, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"4652: Bán buôn thiết bị và linh kiện điện tử, viễn thông-(CPC 622);  Doanh nghiệp có vốn đầu tư nước ngoài có trách nhiệm thực hiện thủ tục đầu tư theo quy định của Luật Đầu tư và Pháp luật có liên qu",electronic
315593177,CÔNG TY TNHH BOJAY ELECTRONICS,CÔNG TY TNHH BOJAY ELECTRONICS,Công ty trách nhiệm hữu hạn một thành viên,"D75 Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,"4641: Bán buôn vải, hàng may mặc, giày dép-chi tiết: Bán buôn vải, hàng dệt, quần áo và hàng may mặc khác; Bán buôn thảm, đệm, chăn, màn, rèm, ga trải giường, gối và hàng dệt; Bán buôn quần áo, kể cả ",electronic
315607905,CÔNG TY TNHH SEIL ELECTRONICS,CÔNG TY TNHH SEIL ELECTRONICS,Công ty trách nhiệm hữu hạn một thành viên,"D75 Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,"4641: Bán buôn vải, hàng may mặc, giày dép-Chi tiết: Bán buôn vải, hàng dệt, quần áo và hàng may mặc khác; Bán buôn thảm, đệm, chăn, màn, rèm, ga trải giường, gối và hàng dệt khác; Bán buôn quần áo, k",electronic
