tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
315051216,CÔNG TY TNHH HARDWARE KING POWER,CÔNG TY TNHH HARDWARE KING POW,Công ty trách nhiệm hữu hạn một thành viên,"22/1C Đường Số 25, Khu Phố 5, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,"4663: Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng-;4649: Bán buôn đồ dùng khác cho gia đình-(trừ kinh doanh dược phẩm).;Doanh nghiệp phải thực hiện đúng các quy định của pháp luật về đất đ",hardware
313687750,CÔNG TY TNHH HARDWARE  MIỀN NAM,CÔNG TY TNHH HARDWARE  MIỀN NA,Công ty trách nhiệm hữu hạn một thành viên,"205/1/163 Đương Liên Khu 4-5, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Tân,"2599: Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu-Chi tiết: Sản xuất cơ khí, trang trí nội thất ( Không hoạt động tại trụ sở);2013: Sản xuất plastic và cao su tổng hợp dạng nguyên sinh",hardware
314727999,CÔNG TY TNHH BD ENGINEERING AND HARDWARE,CÔNG TY TNHH BD ENGINEERING AN,Công ty trách nhiệm hữu hạn một thành viên,"68 Nguyễn Huệ , Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,"4543: Bán phụ tùng và các bộ phận phụ trợ của mô tô, xe máy-Chi tiết: Thực hiện quyền xuất khẩu, quyền nhập khẩu và quyền phân phối bán buôn phụ tùng và các bộ phận phụ trợ của mô tô, xe máy. (CPC: 62",hardware
314317569,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI PLASTIC & HARDWARE,CÔNG TY TNHH SẢN XUẤT THƯƠNG M,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"52/3 Đường 4, Khu phố 6, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,"2220: Sản xuất sản phẩm từ plastic-(trừ sản xuất xốp cách nhiệt sử dụng ga R141b, sử dụng polyol trộn sẵn HCFC-141b);2013: Sản xuất plastic và cao su tổng hợp dạng nguyên sinh-(không hoạt động tại trụ",hardware
314617040,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ MP HARDWARE,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn một thành viên,"68 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,"4662: Bán buôn kim loại và quặng kim loại-Chi tiết:Bán buôn sắt, thép, inox; Bán buôn kim loại khác (trừ mua bán vàng miếng);4663: Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng-Chi tiết: Bán",hardware
315147334,CÔNG TY TNHH VIETNAM METAL HARDWARE,CÔNG TY TNHH VIETNAM METAL HAR,Công ty trách nhiệm hữu hạn một thành viên,"158/C34 Phan Anh, Phường Tân Thới Hoà, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Phú,"2599: Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu-(không hoạt động tại trụ sở).;3100: Sản xuất giường, tủ, bàn, ghế-(không hoạt động tại trụ sở).;4641: Bán buôn vải, hàng may sẵn, giày",hardware
315458548,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU NAM VIỆT HARDWARE,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"299 Sư Vạn Hạnh, Phường 09, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",Quận 10,"4759: Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu  trong các cửa hàng chuyên doanh-;4663: Bán buôn vật liệu,",hardware
315473465,CÔNG TY TNHH VINAKO FURNITURE HARDWARE,CÔNG TY TNHH VINAKO FURNITURE ,Công ty trách nhiệm hữu hạn một thành viên,"21 Đường TL 18, KP3, Phường Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"3100: Sản xuất giường, tủ, bàn, ghế-;3311: Sửa chữa các sản phẩm kim loại đúc sẵn-;3312: Sửa chữa máy móc, thiết bị-;3320: Lắp đặt máy móc và thiết bị công nghiệp-;4649: Bán buôn đồ dùng khác cho gia ",hardware
315690660,CÔNG TY TNHH KUN GI HARDWARE,CÔNG TY TNHH KUN GI HARDWARE,Công ty trách nhiệm hữu hạn một thành viên,"10/2D Ấp Tân Hòa, Xã Tân Hiệp, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",,"4690: Bán buôn tổng hợp-Chi tiết: Thực hiện quyền xuất khẩu, quyền nhập khẩu, quyền phân phối bán buôn các hàng hóa không thuộc danh mục hàng hóa cấm xuất khẩu, cấm nhập khẩu và danh mục hàng hóa khôn",hardware
316011946,CÔNG TY TNHH SUPER MACHINE AND HARDWARE,CÔNG TY TNHH SUPER MACHINE AND,Công ty trách nhiệm hữu hạn một thành viên,"Tầng 2, Số 88, Đường Bàu Cát 3, Phường 14, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"4690: Bán buôn tổng hợp-Chi tiết: Thực hiện quyền xuất khẩu, quyền nhập khẩu, quyền phân phối bán buôn các hàng hóa không thuộc danh mục hàng hóa cấm xuất khẩu, cấm nhập khẩu và danh mục hàng hóa khôn",hardware
