tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
313600541,CÔNG TY TNHH GEELEAF,CÔNG TY TNHH GEELEAF,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"Tầng 4, Số 6-8 Đường D2, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"6201: Lập trình máy vi tính-;6202: Tư vấn máy vi tính và quản trị hệ thống máy vi tính-;6209: Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính-;6311: Xử lý dữ liệu, cho ",internet
313598395,CÔNG TY TNHH ĐIỆN TỬ HƯNG VIỆT,CÔNG TY TNHH ĐIỆN TỬ HƯNG VIỆT,Công ty trách nhiệm hữu hạn một thành viên,"165/18 Nguyễn Văn Luông, Phường 10, Quận 6, Thành phố Hồ Chí Minh, Việt Nam",Quận 6,"2610: Sản xuất linh kiện điện tử-Chi tiết: Lắp ráp đồ chơi, trò chơi điện tử, máy game (Không gia công cơ khí, tái chế phế thải, xi mạ điện tại trụ sở);4669: Bán buôn chuyên doanh khác chưa được phân ",internet
313598733,CÔNG TY CỔ PHẦN PHÁT TRIỂN BẤT ĐỘNG SẢN THÀNH ĐẠI TÍN,CÔNG TY CỔ PHẦN PHÁT TRIỂN BẤT,Công ty cổ phần,"174 Trần Phú, Phường 09, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Quận 5,"4652: Bán buôn thiết bị và linh kiện điện tử, viễn thông-chi tiết: bán buôn thiết bị thu phát vô tuyến điểm - điểm - đa điểm, thiết bị thu phát vô tuyến sử dụng kỹ thuật điều chế trải phổ (trừ thiết b",internet
313597313,CÔNG TY TNHH NGUYÊN PHÚC VINA,CÔNG TY TNHH NGUYÊN PHÚC VINA,Công ty trách nhiệm hữu hạn một thành viên,"Số 09 Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"3312: Sửa chữa máy móc, thiết bị-Chi tiết: Sửa chữa máy móc, thiết bị và phụ tùng máu văn phòng;9521: Sửa chữa thiết bị nghe nhìn điện tử gia dụng-;3314: Sửa chữa thiết bị điện-;4321: Lắp đặt hệ thống",internet
313598148,CÔNG TY TNHH FOREVER YOUNG VIỆT NAM,CÔNG TY TNHH FOREVER YOUNG VIỆ,Công ty trách nhiệm hữu hạn một thành viên,"187/7 Điện Biên Phủ , Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,"1420: Sản xuất sản phẩm từ da lông thú-(Không hoạt động tại trụ sở).;1511: Thuộc, sơ chế da; sơ chế và nhuộm da lông thú-(Không hoạt động tại trụ sở).;1512: Sản xuất vali, túi xách và các loại tương t",internet
313597899,DOANH NGHIỆP TƯ NHÂN TRIỆU THANH NGA,DOANH NGHIỆP TƯ NHÂN TRIỆU THA,Doanh nghiệp tư nhân,"17/2 đường số 7, phường 04, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Quận 4,4722: Bán lẻ thực phẩm trong các cửa hàng chuyên doanh-(thực hiện theo Quyết định số 64/2009/QÐ-UBND ngày 31/07/2009 và Quyết định số 79/2009/QÐ-UBND ngày 17/10/2009 của Ủy Ban Nhân Dân TP. Hồ Chí Min,internet
313598613,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ CORE NET,CÔNG TY TNHH MỘT THÀNH VIÊN TH,Công ty trách nhiệm hữu hạn một thành viên,"307 Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân phú, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân phú,"4669: Bán buôn chuyên doanh khác chưa được phân vào đâu-Chi tiết: Bán buôn sim, card điện thoại, thẻ game;6190: Hoạt động viễn thông khác-Chi tiết: Hoạt động của các điểm truy cập internet.;9329: Hoạt",internet
313601947,CÔNG TY CỔ PHẦN ĐẦU TƯ ĐỊA ỐC NHÀ BÈ,CÔNG TY CỔ PHẦN ĐẦU TƯ ĐỊA ỐC ,Công ty cổ phần,"71/51/14 Đào Tông Nguyên, khu phố 7, Thị Trấn Nhà Bè, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",,0161: Hoạt động dịch vụ trồng trọt-(không hoạt động tại trụ sở);0162: Hoạt động dịch vụ chăn nuôi-(không hoạt động tại trụ sở);0210: Trồng rừng và chăm sóc rừng-(không hoạt động tại trụ sở);0240: Hoạt,internet
313598074,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ K.O.M,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"41 Đường số 7, khu dân cư Trung Sơn, Xã Bình Hưng, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",,"5510: Dịch vụ lưu trú ngắn ngày-Chi tiết: Khách sạn, biệt thự du lịch, căn hộ du lịch, nhà nghỉ du lịch, nhà ở có phòng cho khách du lịch thuê (không hoạt động tại trụ sở).; 4669: Bán buôn chuyên doan",internet
313600904,CÔNG TY TNHH ANTA6,CÔNG TY TNHH ANTA6,Công ty trách nhiệm hữu hạn một thành viên,"405/16/5 Trường Chinh, Phường 14, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"4329: Lắp đặt hệ thống xây dựng khác-Chi tiết: Lắp đặt hệ thống đèn chiếu sáng, hệ thống âm thành, hệ thống thông báo cháy, chữa cháy, hệ thống chống trộm, camera quan sát (trừ g",internet
