tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
313619302,CÔNG TY TNHH THƯƠNG MẠI XÂY DỰNG VẬN TẢI MINH KHA,CÔNG TY TNHH THƯƠNG MẠI XÂY DỰ,Công ty trách nhiệm hữu hạn một thành viên,"74 Cao Văn Ngọc, Phường Phú Trung, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Phú,5229: Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải-Chi tiết: Kinh doanh dịch vụ logistic (trừ hóa lỏng khí để vận chuyển và hoạt động liên quan đến vận tải đường hàng không). Dịch vụ giao nhận ,lap top
313626081,DOANH NGHIỆP TƯ NHÂN GIẢI TRÍ CÁ TIÊN,DOANH NGHIỆP TƯ NHÂN GIẢI TRÍ ,Doanh nghiệp tư nhân,"C5/20 Đường Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",,"4723: Bán lẻ đồ uống trong các cửa hàng chuyên doanh-;3320: Lắp đặt máy móc và thiết bị công nghiệp-Chi tiết: Lắp đặt các loại thùng trò chơi điện tử như: thú nhún, đua ngựa, đua heo, đua chó, máy bắn",lap top
313626074,DOANH NGHIỆP TƯ NHÂN GIẢI TRÍ NÀNG TIÊN CÁNH,DOANH NGHIỆP TƯ NHÂN GIẢI TRÍ ,Doanh nghiệp tư nhân,"38 Nguyễn Triệu Luật, Khu phố 3, Phường Tân Tạo, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Tân,"4723: Bán lẻ đồ uống trong các cửa hàng chuyên doanh-;3320: Lắp đặt máy móc và thiết bị công nghiệp-Chi tiết: Lắp đặt các loại thùng trò chơi điện tử như: thú nhún, đua ngựa, đua heo, đua chó, máy bắn",lap top
313627712,CÔNG TY CỔ PHẦN THƯƠNG MẠI Ô TÔ HÒA PHÁT,CÔNG TY CỔ PHẦN THƯƠNG MẠI Ô T,Công ty cổ phần,"254/31 Đường TTH07, Khu phố 4A, phường Tân Thới Hiệp, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"2511: Sản xuất các cấu kiện kim loại-(chỉ hoạt động khi đủ điều kiện của pháp luật);2512: Sản xuất thùng, bể chứa và dụng cụ chứa đựng bằng kim loại-Chi tiết: Sản xuất thùng, bể chứa và dụng cụ chứa đ",lap top
313637125,CÔNG TY TNHH THƯƠNG MẠI NHUNG HOÀNG PHÁT,CÔNG TY TNHH THƯƠNG MẠI NHUNG ,Công ty trách nhiệm hữu hạn một thành viên,"Số 12A, Đường 179, Phường Tân Phú, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",Quận 9,"4652: Bán buôn thiết bị và linh kiện điện tử, viễn thông-Chi tiết: 
- Bán buôn sim card
- Bán buôn điện thoại, laptop;",lap top
313644147,DOANH NGHIỆP TƯ NHÂN PHẠM NGỌC NAM,DOANH NGHIỆP TƯ NHÂN PHẠM NGỌC,Doanh nghiệp tư nhân,"38 Nguyễn Triệu Luật, Khu phố 3, Phường Tân Tạo, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Tân,"4723: Bán lẻ đồ uống trong các cửa hàng chuyên doanh-;3320: Lắp đặt máy móc và thiết bị công nghiệp-Chi tiết: Lắp đặt các loại thùng trò chơi điện tử như: thú nhún, đua ngựa, đua heo, đua chó, máy bắn",lap top
315859162,CÔNG TY TNHH VI TÍNH ĐĂNG QUANG,CÔNG TY TNHH VI TÍNH ĐĂNG QUAN,Công ty trách nhiệm hữu hạn một thành viên,"55A Lê Liễu, Phường Tân Quý, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Phú,"4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh-Chi tiết: Bán lẻ máy vi tính, laptop, phụ kiện, loa, amply, tivi, điện thoại cũ và mới;4651",lap top
313673130,CÔNG TY TNHH DỊCH VỤ HOA SÀI GÒN,CÔNG TY TNHH DỊCH VỤ HOA SÀI G,Công ty trách nhiệm hữu hạn một thành viên,"98 Võ Thị Sáu, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,"4669: Bán buôn chuyên doanh khác chưa được phân vào đâu-Chi tiết: Bán buôn ốp lưng điện thoại, ốp lưng laptop;4753: Bán lẻ thảm, đệm, chăn, màn, rèm, vật liệu phủ tường và sàn trong các cửa hàng chuyê",lap top
313693634,CÔNG TY TNHH TƯ VẤN DU HỌC DU LỊCH THIÊN PHÁT,CÔNG TY TNHH TƯ VẤN DU HỌC DU ,Công ty trách nhiệm hữu hạn một thành viên,"38A Hồ Hảo Hớn, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,"5229: Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải-Chi tiết: Đại lý bán vé máy bay;4530: Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác-;4620: Bán buôn nông, lâm sản nguyên ",lap top
313710047,CÔNG TY TNHH XUẤT NHẬP KHẨU FUTURO,CÔNG TY TNHH XUẤT NHẬP KHẨU FU,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"500/8 Đường TTH 02, Phường Tân Thới Hiệp, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"5224: Bốc xếp hàng hóa-;4669: Bán buôn chuyên doanh khác chưa được phân vào đâu-Chi tiết: Bán lẻ hàng lưu niệm, hàng đan lát, hàng thủ công mỹ nghệ. Bán buôn mắt kính, đồng hồ, mũ bảo hiểm; Bán buôn d",lap top
313718092,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU AN LỘC PHÁT,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"281 Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",Quận 2,"5224: Bốc xếp hàng hóa-(trừ bốc xếp hàng hóa cảng hàng không);4669: Bán buôn chuyên doanh khác chưa được phân vào đâu-Chi tiết: Bán buôn tơ, xơ, sợi dệt. Bán buôn vải;3312: Sửa chữa máy móc, thiết bị-",lap top
313766032,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT VINAHC,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"73/45 Huỳnh Văn Bánh, Phường 17, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Quận Phú Nhuận,1079: Sản xuất thực phẩm khác chưa được phân vào đâu-Chi tiết: Sản xuất thực phẩm (không hoạt động tại trụ sở);4662: Bán buôn kim loại và quặng kim loại-Chi tiết: Bán buôn bạc; Mua bán vàng trang sức ,lap top
313813814,CÔNG TY TNHH TRÒ CHƠI ĐIỆN TỬ PHAN THỊ PHƯỢNG,CÔNG TY TNHH TRÒ CHƠI ĐIỆN TỬ ,Công ty trách nhiệm hữu hạn một thành viên,"Số 735 đường Phạm Văn Chí, khu phố 5, Phường 07, Quận 6, Thành phố Hồ Chí Minh, Việt Nam",Quận 6,6190: Hoạt động viễn thông khác-chi tiết: hoạt động của các điểm truy cập internet; Điểm cung cấp dịch vụ trò chơi điện tử công cộng ( trừ hoạt động kinh doanh trò chơi điện tử có thưởng dành cho ngườ,lap top
313716810,CÔNG TY TNHH THIẾT KẾ ĐẦU TƯ XÂY DỰNG VÀ LẮP ĐẶT THIẾT BỊ ĐIỆN STARK VIỆT NAM,CÔNG TY TNHH THIẾT KẾ ĐẦU TƯ X,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"2403 Phạm Thế Hiển, Phường 7, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",Quận 8,"5911: Hoạt động sản xuất phim điện ảnh, phim video và chương trình truyền hình-Chi tiết: Hoạt động sản xuất chương trình truyền hình  (Trừ sản xuất phim, phát sóng và không thực hiện các hiệu ứng cháy",lap top
313859872,CÔNG TY TNHH DỊCH VỤ TƯ VẤN VÀ CÔNG NGHỆ SÀI GÒN,CÔNG TY TNHH DỊCH VỤ TƯ VẤN VÀ,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"18 Nam Quốc Cang, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,8532: Đào tạo trung cấp-chi tiết: Dạy nghề; 8559: Giáo dục khác chưa được phân vào đâu-chi tiết: các dịch vụ dạy kèm. Dạy máy tính (trừ dạy về tôn giáo; các trường của các tổ chức Đảng - Đoàn thể); 85,lap top
313911233,CÔNG TY TNHH TRÒ CHƠI ĐIỆN TỬ NGUYỄN THỊ HỒNG HẠNH,CÔNG TY TNHH TRÒ CHƠI ĐIỆN TỬ ,Công ty trách nhiệm hữu hạn một thành viên,"32 Đường 3A, Khu phố 3, Phường Tân Tạo A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Tân,"3320: Lắp đặt máy móc và thiết bị công nghiệp-chi tiết: lắp đặt các loại thùng trò chơi điện tử như sau: đua ngựa, đua heo, đua chó, máy bắn cá, bắn bi, bắn trái cây , các loại tivi;4652: Bán buôn thi",lap top
313951317,CÔNG TY TNHH XUẤT NHẬP KHẨU GIAO NHẬN MINH TẤN,CÔNG TY TNHH XUẤT NHẬP KHẨU GI,Công ty trách nhiệm hữu hạn một thành viên,"57/43/2 Tô Hiệu, Phường Hiệp Tân, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Phú,"1079: Sản xuất thực phẩm khác chưa được phân vào đâu-;5229: Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải-chi tiết: Dịch vụ đại lý tàu biển. Dịch vụ đại lý vận tải đường biển. Dịch vụ kiểm đếm, ",lap top
313919031,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG ĐINH PHÚC,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn một thành viên,"537/22 Nguyễn Oanh, Phường 17, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"4663: Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng-chi tiết: bán buôn vật liệu xây dựng, hàng trang trí nội thất, bán buôn sơn và véc ni. bán buôn gỗ cây và gỗ chế biến;2022: Sản xuất sơn, ",lap top
