tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
313676533,CÔNG TY TNHH PHAMORE,CÔNG TY TNHH PHAMORE,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"97 Lê Quang Định, Phường 14, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"2100: Sản xuất thuốc, hoá dược và dược liệu-Chi tiết: Sản xuất thuốc;4669: Bán buôn chuyên doanh khác chưa được phân vào đâu-Chi tiết: Bán buôn vật tư y tế tiêu hao: bông băng, gạc, vật liệu cầm máu, ",may in
313760175,CÔNG TY TNHH MAYINQUANGCAO.COM,CÔNG TY TNHH MAYINQUANGCAOCOM,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"Số 6 Đường 34A, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Tân,"4659: Bán buôn máy móc, thiết bị và phụ tùng máy khác-Chi tiết: Bán buôn các loại máy công cụ; Bán buôn máy móc, thiết bị ngành in; Bán buôn phụ tùng, phụ liệu ngành in, xuất nhập khẩu máy móc, thiết ",may in
313789738,CÔNG TY TNHH MAY IN THÊU VÂN ANH,CÔNG TY TNHH MAY IN THÊU VÂN A,Công ty trách nhiệm hữu hạn một thành viên,"Số 149 đường Cao Thắng, Phường 11, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",Quận 10,"4641: Bán buôn vải, hàng may sẵn, giày dép-;4771: Bán lẻ hàng may mặc, giày dép, hàng da và giả da trong các cửa hàng chuyên doanh-;1410: May trang phục (trừ trang phục từ da lông thú)-(trừ tẩy nhuộm,",may in
313613269,CÔNG TY TNHH DỆT MAY IN PHƯƠNG ĐÔNG,CÔNG TY TNHH DỆT MAY IN PHƯƠNG,Công ty trách nhiệm hữu hạn một thành viên,"87/32 Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân phú, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân phú,"1322: Sản xuất hàng may sẵn (trừ trang phục)-(không tẩy, nhuộm, hồ, in trên các sản phẩm vải, sợi, dệt, may đan và không gia công hàng qua sử dụng tại trụ sở).;1410: May trang phục (trừ trang phục từ ",may in
313911360,CÔNG TY TNHH MAY IN THÊU THUẬN TÍN,CÔNG TY TNHH MAY IN THÊU THUẬN,Công ty trách nhiệm hữu hạn một thành viên,"Số 173, Tổ 13, Ấp Phú Mỹ, Xã Phú Hòa Đông, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam",,"1410: May trang phục (trừ trang phục từ da lông thú)-(không gia công hàng đã qua sử dụng, thuộc da, không tẩy, nhuộm, hồ, in, thuộc da tại trụ sở);1430: Sản xuất trang phục dệt kim, đan móc-chi tiết: ",may in
313947737,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ VINH THUẬN PHÁT,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊC,Công ty trách nhiệm hữu hạn một thành viên,"183 Trần Quý, Phường 4, Quận 11, Thành phố Hồ Chí Minh, Việt Nam",Quận 11,"1811: In ấn-(trừ in, tráng bao bì kim loại, in trên sản phẩm vải, sợi, dệt, may đan tại trụ sở).;1812: Dịch vụ liên quan đến in-(trừ in, tráng bao bì kim loại, in trên sản phẩm vải, sợi, dệt, may đan ",may in
313978333,CÔNG TY TNHH DỆT MAY IN TUẤN PHÁT,CÔNG TY TNHH DỆT MAY IN TUẤN P,Công ty trách nhiệm hữu hạn một thành viên,"20/132 Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Phú,"4649: Bán buôn đồ dùng khác cho gia đình-chi tiết: Bán buôn vali, cặp, túi, ví, hàng da và giả da khác.;1410: May trang phục (trừ trang phục từ da lông thú)-(trừ tẩy, nhuộm, hồ, in trên các sản phẩm v",may in
314370499,CÔNG TY TNHH MAY IN THÊU HOÀNG TRINH,CÔNG TY TNHH MAY IN THÊU HOÀNG,Công ty trách nhiệm hữu hạn một thành viên,"Số 152 Cao Thắng, Phường 11, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",Quận 10,"1321: Sản xuất vải dệt kim, vải đan móc và vải không dệt khác-Chi tiết: - Thêu vi tính, Thêu đồ gia dụng các loại. (trừ tẩy, nhuộm, hồ, in; gia công hàng đã qua sử dụng tại trụ sở);1322: Sản xuất hàng",may in
314486486,CÔNG TY TNHH MTV MAY IN AN ĐÔNG,CÔNG TY TNHH MTV MAY IN AN ĐÔN,Công ty trách nhiệm hữu hạn một thành viên,"37-37A-37B Đường An Phú Đông 10 , Phường An Phú Đông, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,1313: Hoàn thiện sản phẩm dệt-Chi tiết: In lụa;1329: Sản xuất các loại hàng dệt khác chưa được phân vào đâu-Chi tiết: Thêu trên vải;1410: May trang phục (trừ trang phục từ da lông thú)-Chi tiết: May,may in
314501180,CÔNG TY TNHH SXTM MAY IN THÊU GIA HÂN,CÔNG TY TNHH SXTM MAY IN THÊU ,Công ty trách nhiệm hữu hạn một thành viên,"87M/3 Đường HT44, Phường Hiệp Thành, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"1812: Dịch vụ liên quan đến in-;4659: Bán buôn máy móc, thiết bị và phụ tùng máy khác-Chi tiết: Bán buôn máy móc, thiết bị máy thêu, máy may và máy in;4669: Bán buôn chuyên doanh khác chưa được phân v",may in
314517078,CÔNG TY TNHH MAY IN THÊU BẢO TRÂN,CÔNG TY TNHH MAY IN THÊU BẢO T,Công ty trách nhiệm hữu hạn một thành viên,"39/1/1 Đường 164, tổ 6 ấp 5, Xã Bình Mỹ, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam",,"1313: Hoàn thiện sản phẩm dệt-chi tiết: Tẩy hoặc nhuộm vải dệt, sợi, sản phẩm dệt bao gồm cả quần áo. Hồ vải, nhuộm, hấp, làm co, chống co, ngâm kiềm vải, sản phẩm vải, sản phẩm dệt bao gồm cả quần áo",may in
315539349,CÔNG TY TNHH MAY IN THÊU ĐỊNH THI,CÔNG TY TNHH MAY IN THÊU ĐỊNH ,Công ty trách nhiệm hữu hạn một thành viên,"Số 606/147/20 Đường 3/2, Phường 14, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",Quận 10,"1392: Sản xuất hàng dệt sẵn (trừ trang phục)-(trừ tẩy, nhuộm, hồ, in, gia công hàng đã qua sử dụng);4641: Bán buôn vải, hàng may mặc, giày dép-;4771: Bán lẻ hàng may mặc, giày dép, hàng da và giả da t",may in
315711529,CÔNG TY TNHH MỘT THÀNH VIÊN MAY IN KHẢI HOÀN,CÔNG TY TNHH MỘT THÀNH VIÊN MA,Công ty trách nhiệm hữu hạn một thành viên,"317 Đường Hiệp Thành 17, Khu phố 2, Phường Hiệp Thành, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"1311: Sản xuất sợi-;1313: Hoàn thiện sản phẩm dệt-;1312: Sản xuất vải dệt thoi-;1391: Sản xuất vải dệt kim, vải đan móc và vải không dệt khác-;1392: Sản xuất hàng dệt sẵn (trừ trang phục)-Chi tiết: Sả",may in
