tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
313661872,CÔNG TY TNHH ASIA INNOVATIONS NETWORK VIỆT NAM,CÔNG TY TNHH ASIA INNOVATIONS ,Công ty trách nhiệm hữu hạn một thành viên,"38/26 Nguyễn Văn Trỗi, Phường 15, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Quận Phú Nhuận,"6311: Xử lý dữ liệu, cho thuê và các hoạt động liên quan-Chi tiết: dịch vụ xử lý dữ liệu (CPC 843)
(Doanh nghiệp không được cung cấp “dịch vụ thông tin trực tuyến và xử lý dữ liệu bao gồm cả xử lý gia",network
313678805,CÔNG TY TNHH HUA RUI YANFENG VIỆT NAM NET WORK COMMUNICATION EQUIPMENT,CÔNG TY TNHH HUA RUI YANFENG V,Công ty trách nhiệm hữu hạn một thành viên,"Số 150/9 Nguyễn Trãi, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,2610: Sản xuất linh kiện điện tử-(Doanh nghiệp chỉ hoạt động khi có đủ điều kiện theo quy định của Pháp luật);2620: Sản xuất máy vi tính và thiết bị ngoại vi của máy vi tính-(Doanh nghiệp chỉ hoạt độn,network
313816477,CÔNG TY TNHH GLOBAL NEWS NETWORK,CÔNG TY TNHH GLOBAL NEWS NETWO,Công ty trách nhiệm hữu hạn một thành viên,"89/9 Đoàn Văn Bơ, Phường 12, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Quận 4,"4669: Bán buôn chuyên doanh khác chưa được phân vào đâu-Chi tiết: Bán buôn bao bì, giấy, nhựa và các sản phẩm nhựa. Bán buôn hóa chất công nghiệp (trừ hóa chất có tính độc hại mạnh) (không hoạt động t",network
313789921,CÔNG TY TNHH DỊCH VỤ CÔNG NGHỆ THÔNG TIN NETWORK CONNECT,CÔNG TY TNHH DỊCH VỤ CÔNG NGHỆ,Công ty trách nhiệm hữu hạn một thành viên,"87/104/12 Nguyễn Sỹ Sách , Phường 15, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,2610: Sản xuất linh kiện điện tử-(không hoạt động tại trụ sở);2620: Sản xuất máy vi tính và thiết bị ngoại vi của máy vi tính-(không hoạt động tại trụ sở);5022: Vận tải hàng hóa đường thuỷ nội địa-;46,network
313837727,CÔNG TY TNHH THƯƠNG MẠI NETWORK VINA,CÔNG TY TNHH THƯƠNG MẠI NETWOR,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"Số 7 Đường 65, Phường Thảo Điền, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",Quận 2,"4530: Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác-;4651: Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm-;4652: Bán buôn thiết bị và linh kiện điện tử, viễn thông-;Doanh ngh",network
313828754,CÔNG TY TRÁCH NHIỆM HỮU HẠN INTERNATIONAL ALUMNI JOB NETWORK VIETNAM,CÔNG TY TRÁCH NHIỆM HỮU HẠN IN,Công ty trách nhiệm hữu hạn một thành viên,"Tòa nhà The Manor 1, 91 Nguyễn Hữu Cảnh , Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"7020: Hoạt động tư vấn quản lý-chi tiết: Dịch vụ tư vấn quản lý nguồn nhân lực;   
(Tổ chức kinh tế thực hiện dự án đầu tư không được cung cấp dịch vụ trọng tài hoà giải đối với tranh chấp thương mại ",network
313826161,CÔNG TY TNHH SMART NETWORK LOGISTICS,CÔNG TY TNHH SMART NETWORK LOG,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"Lầu 3, Toà nhà Tiên Phong, Số 24 Đường Trường Sơn, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"2392: Sản xuất vật liệu xây dựng từ đất sét-(không hoạt động tại trụ sở);1410: May trang phục (trừ trang phục từ da lông thú)-(trừ tẩy, nhuộm, hồ, in trên các sản phẩm vải sợi, dệt, may, đan tại trụ s",network
314126155,CÔNG TY CỔ PHẦN S&P NETWORKS,CÔNG TY CỔ PHẦN SP NETWORKS,Công ty cổ phần,"Số 163 Đường Số 30, Khu Định Cư Tân Quy Đông, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Quận 7,"4610: Đại lý, môi giới, đấu giá hàng hóa-Chi tiết: Dịch vụ đại lý hoa hồng (CPC 621); 4641: Bán buôn vải, hàng may mặc, giày dép-(CPC 622); 4649: Bán buôn đồ dùng khác cho gia đình-Chi tiết: Bán buôn ",network
313950049,CÔNG TY TNHH TSL NETWORKS VIETNAM,CÔNG TY TNHH TSL NETWORKS VIET,Công ty trách nhiệm hữu hạn một thành viên,"Tầng 19, Tòa nhà MB SUNNY, 259 Trần Hưng Đạo, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,5229: Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải-Chi tiết: dịch vụ đại lý vận tải hàng hóa (CPC 7480);  Doanh nghiệp có vốn đầu tư nước ngoài có trách nhiệm thực hiện thủ tục đầu tư theo quy ,network
314124503,CÔNG TY TNHH BRAINY ENGLISH NETWORK,CÔNG TY TNHH BRAINY ENGLISH NE,Công ty trách nhiệm hữu hạn một thành viên,"13 Lê Đại Hành, Phường 15, Quận 11, Thành phố Hồ Chí Minh, Việt Nam",Quận 11,"4321: Lắp đặt hệ thống điện-(trừ gia công cơ khí, tái chế phế thải, xi mạ điện tại trụ sở).;4329: Lắp đặt hệ thống xây dựng khác-(trừ gia công cơ khí, tái chế phế thải, xi mạ điện tại trụ sở).;4620: B",network
