tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
313653159,CÔNG TY TNHH LOGIX TECHNOLOGY VIỆT NAM,CÔNG TY TNHH LOGIX TECHNOLOGY ,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"A15-2 Khu phố The Grand View, Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Quận 7,6201: Lập trình máy vi tính-(CPC 842); 6202: Tư vấn máy vi tính và quản trị hệ thống máy vi tính-(CPC 842); 6209: Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính-(CPC 8,technology
313656872,CÔNG TY TNHH TECHNOLOGY & DISTRIBUTION VIETNAM,CÔNG TY TNHH TECHNOLOGY  DISTR,Công ty trách nhiệm hữu hạn một thành viên,"42 Nguyễn Văn Cừ, Phường Cầu Kho, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,"1104: Sản xuất đồ uống không cồn, nước khoáng-Chi tiết: Sản xuất nước khoáng, nước tinh khiết đống chai (không hoạt động tại trụ sở);1410: May trang phục (trừ trang phục từ da lông thú)-(không tẩy, nh",technology
313708915,CÔNG TY TNHH VERO TECHNOLOGY SOLUTIONS,CÔNG TY TNHH VERO TECHNOLOGY S,Công ty trách nhiệm hữu hạn một thành viên,"Số nhà 712, Lô 3C Chung cư Phú Thọ, Đường Lữ Gia, Phường 15, Quận 11, Thành phố Hồ Chí Minh, Việt Nam",Quận 11,6201: Lập trình máy vi tính-;,technology
313723776,CÔNG TY TNHH MS TECHNOLOGY VIỆT NAM,CÔNG TY TNHH MS TECHNOLOGY VIỆ,Công ty trách nhiệm hữu hạn một thành viên,"Phòng B, tầng 3, Star Building, số 33ter-33bis đường Mạc Đĩnh Chi, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,"4690: Bán buôn tổng hợp-Chi tiết: Thực hiện quyền xuất khẩu, quyền nhập khẩu, quyền phân phối bán buôn các hàng hóa không thuộc danh mục hàng hóa cấm xuất khẩu, cấm nhập khẩu và danh mục hàng hóa khôn",technology
313736824,CÔNG TY TNHH FPT FOOD PROCESS TECHNOLOGY VIỆT NAM,CÔNG TY TNHH FPT FOOD PROCESS ,Công ty trách nhiệm hữu hạn một thành viên,"50 đường số 4 KDC Intresco, ấp 5, Xã Bình Hưng, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",,"6201: Lập trình máy vi tính-chi tiết: Dịch vụ thực hiện phần mềm (CPC 842); 4652: Bán buôn thiết bị và linh kiện điện tử, viễn thông-Chi tiết: Thực hiện quyền xuất khẩu, quyền nhập khẩu, quyền phân ph",technology
313771089,CÔNG TY TNHH NISSHIN APPLICATIONS TECHNOLOGY,CÔNG TY TNHH NISSHIN APPLICATI,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"296/26/34 Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Quận Gò Vấp,5224: Bốc xếp hàng hóa-(trừ bốc xếp hàng hóa cảng hàng không).;5229: Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải-Chi tiết: Dịch vụ giao nhận hàng hóa; Hoạt động của đại lý làm thủ tục hải quan,technology
313828779,CÔNG TY TNHH FULL UNION TECHNOLOGY VIỆT NAM,CÔNG TY TNHH FULL UNION TECHNO,Công ty trách nhiệm hữu hạn một thành viên,"Tầng 5 tòa nhà Robot, số 308-308C đường Điện Biên Phủ, Phường 04, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Quận 3,"4690: Bán buôn tổng hợp-Chi tiết: Thực hiện quyền nhập khẩu, quyền xuất khẩu, quyền phân phối bán buôn (không thành lập cơ sở bán buôn) các hàng hóa có mã 3212, 3902.90.10, 3208, 3209, 3210, 2705.00.0",technology
313727643,CÔNG TY TNHH DPK TECHNOLOGY VIET NAM,CÔNG TY TNHH DPK TECHNOLOGY VI,Công ty trách nhiệm hữu hạn một thành viên,"116 Xuân Thủy, Khu phố 2, Phường Thảo Điền, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",Quận 2,2592: Gia công cơ khí; xử lý và tráng phủ kim loại-(không hoạt động tại trụ sở);5012: Vận tải hàng hóa ven biển và viễn dương-;5022: Vận tải hàng hóa đường thuỷ nội địa-;4662: Bán buôn kim loại và quặ,technology
313798940,CÔNG TY TNHH HAPPY FARM TECHNOLOGY,CÔNG TY TNHH HAPPY FARM TECHNO,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"Số 330-332 Võ Văn Tần, Phường 05, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Quận 3,"4669: Bán buôn chuyên doanh khác chưa được phân vào đâu-Chi tiết: Bán buôn phân bón.;4620: Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống-Chi tiết: Bán buôn thức ăn cho gia súc",technology
313950031,CÔNG TY TNHH AAT TECHNOLOGY,CÔNG TY TNHH AAT TECHNOLOGY,Công ty trách nhiệm hữu hạn một thành viên,"62 Đường 14A, Cư xá Ngân Hàng, Phường Tân Thuận Tây, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Quận 7,"6201: Lập trình máy vi tính-;6202: Tư vấn máy vi tính và quản trị hệ thống máy vi tính-;4659: Bán buôn máy móc, thiết bị và phụ tùng máy khác-;7730: Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác",technology
