tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
313677819,CÔNG TY TNHH GIA ĐẠT TELECOM,CÔNG TY TNHH GIA ĐẠT TELECOM,Công ty trách nhiệm hữu hạn một thành viên,"710/30 Hậu Giang, Phường 12, Quận 6, Thành phố Hồ Chí Minh, Việt Nam",Quận 6,"1312: Sản xuất vải dệt thoi-Chi tiết: Sản xuất vải dệt kim, vải đan móc và vải không dệt khác; Sản xuất, gia công thuê vi tính các mặt hàng trên vải, thuê nhãn may lên trang phục( trừ tẩy, nhuộm, hồ, ",telecom
313844812,CÔNG TY TNHH NETVISION TELECOM VINA,CÔNG TY TNHH NETVISION TELECOM,Công ty trách nhiệm hữu hạn một thành viên,"Lầu 1, số 5-7 Hoàng Việt, Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"5820: Xuất bản phần mềm-chi tiết: sản xuất phần mềm;6201: Lập trình máy vi tính-chi tiết: sản xuất phần mềm;6202: Tư vấn máy vi tính và quản trị hệ thống máy vi tính-chi tiết: Dịch vụ tư vấn, thiết kế",telecom
313793967,CÔNG TY TNHH NC TELECOM,CÔNG TY TNHH NC TELECOM,Công ty trách nhiệm hữu hạn một thành viên,"Số 41 Hoa Lan, Phường 02, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Quận Phú Nhuận,"5210: Kho bãi và lưu giữ hàng hóa-chi tiết: lưu giữ hàng hóa;5229: Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải-chi tiết: hoạt động của đại lý bán vé máy bay, vé tàu, vé xe;6201: Lập trình máy ",telecom
314289671,CÔNG TY TNHH DECON TELECOM SOLUTION,CÔNG TY TNHH DECON TELECOM SOL,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"Số 9B, đường Đồng Nai, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh-Chi tiết: Bán lẻ Điện thoại cố định, điện thoại di động, máy fax, thiết bị viễn thông khác ",telecom
315251222,CÔNG TY TNHH XÂY DỰNG DỊCH VỤ THƯƠNG MẠI HÙNG CƯỜNG TELECOM,CÔNG TY TNHH XÂY DỰNG DỊCH VỤ ,Công ty trách nhiệm hữu hạn một thành viên,"63 Đường số 2A, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Tân,"4101: Xây dựng nhà để ở-;4221: Xây dựng công trình điện-Chi tiết: Thi công hệ thống điện công nghiệp và dân dụng;4223: Xây dựng công trình viễn thông, thông tin liên lạc-Chi tiết: Thi công hệ thống mạ",telecom
315254791,CÔNG TY CỔ PHẦN BẢO VIỆT TELECOM,CÔNG TY CỔ PHẦN BẢO VIỆT TEL,Công ty cổ phần,"46 Nguyễn Giản Thanh, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",Quận 10,"3312: Sửa chữa máy móc, thiết bị-Chi tiết: Sửa chữa máy photocopy, máy nén khí (không họat động tại địa điểm trụ sở chính);3314: Sửa chữa thiết bị điện-Chi tiết: - Sửa chữa và bảo dưỡng các loại máy b",telecom
315282012,CÔNG TY TNHH MT TELECOM,CÔNG TY TNHH MT TELECOM,Công ty trách nhiệm hữu hạn một thành viên,"104/D4 Đường Số 2, Phường 13, Quận 6, Thành phố Hồ Chí Minh, Việt Nam",Quận 6,"9511: Sửa chữa máy vi tính và thiết bị ngoại vi-;9521: Sửa chữa thiết bị nghe nhìn điện tử gia dụng-;7710: Cho thuê xe có động cơ-;3312: Sửa chữa máy móc, thiết bị-;3314: Sửa chữa thiết bị điện-;4101:",telecom
315326492,CÔNG TY TNHH TRỊNH GIA TELECOM,CÔNG TY TNHH TRỊNH GIA TELECOM,Công ty trách nhiệm hữu hạn một thành viên,"22/11/7A Tân Hoá, Phường 1, Quận 11, Thành phố Hồ Chí Minh, Việt Nam",Quận 11,"4652: Bán buôn thiết bị và linh kiện điện tử, viễn thông-;4651: Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm-;4659: Bán buôn máy móc, thiết bị và phụ tùng máy khác-chi tiết: Bán buôn máy móc, t",telecom
315506470,CÔNG TY TNHH TELECOMMUNICATIONS EQUIPMENT,CÔNG TY TNHH TELECOMMUNICATION,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"Số 288 Phạn Văn Hai, Phường 5, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"4652: Bán buôn thiết bị và linh kiện điện tử, viễn thông-(CPC 622);  Doanh nghiệp có vốn đầu tư nước ngoài có trách nhiệm thực hiện thủ tục đầu tư theo quy định của Luật Đầu tư và Pháp luật có liên qu",telecom
316062549,CÔNG TY TNHH ĐĂNG QUANG TELECOM,CÔNG TY TNHH ĐĂNG QUANG TELECO,Công ty trách nhiệm hữu hạn một thành viên,"P.305, Toà nhà SBI, Công viên phần mềm Quang Trung , Phường Tân Chánh Hiệp, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"4652: Bán buôn thiết bị và linh kiện điện tử, viễn thông-;5820: Xuất bản phần mềm-Chi tiết : Sản xuất phần mềm;6312: Cổng thông tin-Chi tiết : Thiết lập trang thông tin điện tử tổng hợp . Thiết lập mạ",telecom
315719599,CÔNG TY TNHH ĐỒNG HÀNH CHUYÊN NGHIỆP,CÔNG TY TNHH ĐỒNG HÀNH CHUYÊN ,Công ty trách nhiệm hữu hạn một thành viên,"135/39 Trần Hưng Đạo, Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,"7110: Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan-Chi tiết: 
- Thiết kế xây dựng;
- Tư vấn đấu thầu; 
- Tư vấn thẩm tra dự án, dự toán xây dựng công nghiệp trình; 
- Lập dự án đầu tư; 
- Thiết",telecom
