tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
313761757,CÔNG TY TNHH PHÁT TRIỂN HỆ THỐNG NICHIETSU,CÔNG TY TNHH PHÁT TRIỂN HỆ THỐ,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"16A1 Vũ Ngọc Phan, Phường 13, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"5820: Xuất bản phần mềm-chi tiết: sản xuất phần mềm (CPC: 842); 4651: Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm-(CPC: 622); 4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị ",vi tinh
313896465,CÔNG TY TNHH WINS SOFT,CÔNG TY TNHH WINS SOFT,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"497/83/4 Thống Nhất, Phường 16, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"0149: Chăn nuôi khác-Chi tiết: Nuôi và tạo giống các con vật nuôi trong nhà; các con vật nuôi khác kể cả các con vật cảnh (trừ cá cảnh); chó, mèo, thỏ, bò sát, côn trùng.;4741: Bán lẻ máy vi tính, thi",vi tinh
313943757,CÔNG TY TNHH BÁN LẺ THIẾT BỊ CÔNG NGHỆ DI ĐỘNG TỐT,CÔNG TY TNHH BÁN LẺ THIẾT BỊ C,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"129 Đường Vĩnh Viễn, Phường 04, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",Quận 10,"4669: Bán buôn chuyên doanh khác chưa được phân vào đâu-chi tiết: Bán buôn phụ liệu may mặc và giày dép;4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng ",vi tinh
314037498,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI VIỆT GIA,CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT T,Công ty trách nhiệm hữu hạn một thành viên,"217 Kênh Tân Hóa, Phường Hoà Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Phú,"7310: Quảng cáo-;1811: In ấn-(không hoạt động tại trụ sở);3240: Sản xuất đồ chơi, trò chơi-Chi tiết: Sản xuất thú nhồi bông (không hoạt động tại trụ sở);4321: Lắp đặt hệ thống điện-Chi tiết: Lắp đặt h",vi tinh
314107963,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ QUỐC TẾ GIA ANH,CÔNG TY TNHH THƯƠNG MẠI DỊCH V,Công ty trách nhiệm hữu hạn một thành viên,"157/96 Dương Bá Trạc, Phường 1, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",Quận 8,2013: Sản xuất plastic và cao su tổng hợp dạng nguyên sinh-(không hoạt động tại trụ sở);2029: Sản xuất sản phẩm hoá chất khác chưa được phân vào đâu-Chi tiết: Sản xuất hóa chất trong lĩnh vực công ngh,vi tinh
314060803,CÔNG TY TNHH THƯƠNG MẠI THIẾT BỊ VẬT LIỆU QUẢNG CÁO ALIBABA,CÔNG TY TNHH THƯƠNG MẠI THIẾT ,Công ty trách nhiệm hữu hạn một thành viên,"482 Hương lộ 2, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Tân,"4659: Bán buôn máy móc, thiết bị và phụ tùng máy khác-Chi tiết: Bán buôn máy móc, thiết bị và phụ tùng máy ngành in, ngành quảng cáo. Bán buôn máy móc. thiết bị và phụ tùng máy khai khoáng, xây dựng. ",vi tinh
314223977,CÔNG TY TNHH QUỐC TẾ QUAN FU,CÔNG TY TNHH QUỐC TẾ QUAN FU,Công ty trách nhiệm hữu hạn một thành viên,"69/52 Nguyễn Tư Giản, Phường 12, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"6201: Lập trình máy vi tính-Chi tiết: Lập trình máy vi tinh, thiết kế mạng internet;4651: Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm-Chi tiết: Bán buôn phần mềm, phần cứng thiết bị trò chơi đ",vi tinh
314331965,CÔNG TY TNHH  THƯƠNG MẠI VÀ DỊCH VỤ CÔNG NGHIỆP NHẬT NAM,CÔNG TY TNHH  THƯƠNG MẠI VÀ DỊ,Công ty trách nhiệm hữu hạn một thành viên,"10 Đường 3C, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Tân,"4659: Bán buôn máy móc, thiết bị và phụ tùng máy khác-Chi tiết: bán buôn máy móc thiết bị điện, vật liệu điện (máy phát điện, động cơ điện, day điện và thiết bị khác dùng trong mạch điện ).Bán buôn má",vi tinh
314438556,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ THÔNG TIN HÀNH TINH XANH,CÔNG TY TNHH GIẢI PHÁP CÔNG NG,Công ty trách nhiệm hữu hạn một thành viên,"78/6K Lâm Văn Bền, Phường Tân Thuận Tây, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Quận 7,"4663: Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng-(không hoạt động tại trụ sở);4669: Bán buôn chuyên doanh khác chưa được phân vào đâu-Chi tiết: Bán buôn hàng trang trí nội thất (trừ bán b",vi tinh
314728946,CÔNG TY TNHH ONG MẬT MIỀN TRUNG TÂY NGUYÊN,CÔNG TY TNHH ONG MẬT MIỀN TRUN,Công ty trách nhiệm hữu hạn một thành viên,"2/2 Hà Huy Giáp, khu phố 2, Phường Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",Quận 12,"0118: Trồng rau, đậu các loại và trồng hoa, cây cảnh-;0128: Trồng cây gia vị, cây dược liệu-;0149: Chăn nuôi khác-Chi tiết: Nuôi ong và sản xuất mật ong;1079: Sản xuất thực phẩm khác chưa được phân và",vi tinh
315279281,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHIỆP SÀI GÒN,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NG,Công ty cổ phần,"A12.07 Block A, Officetel Sky Center, Số 5B Đường Phổ Quang , Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"4329: Lắp đặt hệ thống xây dựng khác-Chi tiết:
-	Lắp đặt hệ thống thiết bị khác không phải hệ thống điện, hệ thống cấp thoát nước, hệ thống sưởi và điều hoà không khí hoặc máy công nghiệp trong các cô",vi tinh
315154564,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ MASS,CÔNG TY TNHH GIẢI PHÁP CÔNG NG,Công ty trách nhiệm hữu hạn một thành viên,"33 Cộng Hòa 3, Phường Tân Thành, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Phú,"6202: Tư vấn máy vi tính và quản trị hệ thống máy vi tính-Chi tiết: Tư vấn máy vi tính; Thiết kế và quản trị hệ thống máy vi tinh, hệ thống thoại voip;7310: Quảng cáo-Chi tiết: Quảng cáo thương mại;82",vi tinh
